#FamilyID	pvalue	Significant at 0.05
FBgn0038376	0.888	n
FBgn0011740	0.946	n
FBgn0038304	0.962	n
FBgn0033466	0.888	n
FBgn0026620	0.859	n
FBgn0032394	0.844	n
FBgn0069242	0.988	n
FBgn0032407	0.709	n
FBgn0027600	0.232	n
FBgn0004666	0.979	n
FBgn0031273	0.223	n
FBgn0033644	0.061	n
FBgn0036008	0.954	n
FBgn0036612	0.154	n
FBgn0035538	0.887	n
FBgn0029857	0.818	n
FBgn0035244	0.888	n
FBgn0086785	0.742	n
FBgn0259244	0.103	n
FBgn0039959	0.499	n
FBgn0035323	0.154	n
FBgn0037382	0.709	n
FBgn0037743	0.676	n
FBgn0037336	0.844	n
FBgn0028707	0.578	n
FBgn0035207	0.355	n
FBgn0261955	0.993	n
FBgn0000527	0.023	y
FBgn0031769	0.888	n
FBgn0003366	0.702	n
FBgn0085440	0.443	n
FBgn0014949	0.611	n
FBgn0260657	0.616	n
FBgn0033912	0.844	n
FBgn0032629	0.002	y
FBgn0085434	0.99	n
FBgn0030676	0.709	n
FBgn0039158	0.888	n
FBgn0038110	0.844	n
FBgn0031359	0.888	n
FBgn0261067	0.401	n
FBgn0259918	0.081	n
FBgn0039584	0.014	y
FBgn0037376	0.802	n
FBgn0037611	0.223	n
FBgn0031307	0.824	n
FBgn0037540	0.888	n
FBgn0065108	0.36	n
FBgn0039112	0.888	n
FBgn0034707	0.888	n
FBgn0031040	0.315	n
FBgn0035293	0.042	y
FBgn0031824	0.888	n
FBgn0031530	0.996	n
FBgn0031209	0.001	y
FBgn0086359	0.816	n
FBgn0037751	0.077	n
FBgn0036318	0.888	n
FBgn0260386	0.578	n
FBgn0036518	0.742	n
FBgn0030554	0.816	n
FBgn0263118	0.982	n
FBgn0264449	0.488	n
FBgn0029762	0.227	n
FBgn0032881	0.611	n
FBgn0031500	0.943	n
FBgn0001108	0.707	n
FBgn0039732	0.534	n
FBgn0031187	0.888	n
FBgn0003312	0.802	n
FBgn0015400	0.816	n
FBgn0032234	0.98	n
FBgn0264895	0.932	n
FBgn0031414	0.505	n
FBgn0036063	0.709	n
FBgn0039925	0.534	n
FBgn0029689	0.808	n
FBgn0036203	0.002	y
FBgn0020370	0.501	n
FBgn0000395	0.631	n
FBgn0033741	0.996	n
FBgn0033657	0.478	n
FBgn0004556	0.741	n
FBgn0265190	0.816	n
FBgn0085451	0.967	n
FBgn0260857	0.775	n
FBgn0004449	0.724	n
FBgn0020887	0.98	n
FBgn0024360	0.663	n
FBgn0036940	0.283	n
FBgn0036686	0.742	n
FBgn0034835	0.193	n
FBgn0262593	0.888	n
FBgn0033738	0.946	n
FBgn0037760	0.98	n
FBgn0032727	0.271	n
FBgn0024191	0.993	n
FBgn0053517	0.679	n
FBgn0085446	0.389	n
FBgn0260985	0.958	n
FBgn0032136	0.196	n
FBgn0037315	0.816	n
FBgn0035393	0.676	n
FBgn0000547	0.521	n
FBgn0000121	0.009	y
FBgn0039084	0	y
FBgn0001297	0.941	n
FBgn0039741	0.534	n
FBgn0035101	0.707	n
FBgn0010114	0.529	n
FBgn0038035	0.288	n
FBgn0040298	0	y
FBgn0250851	0.538	n
FBgn0000611	0.709	n
FBgn0005777	0.772	n
FBgn0031384	0.529	n
FBgn0034271	0.98	n
FBgn0037092	0.467	n
FBgn0039688	0.993	n
FBgn0004885	0.026	y
FBgn0025833	0.327	n
FBgn0038244	0.607	n
FBgn0040104	0.112	n
FBgn0027549	0.888	n
FBgn0001186	0.929	n
FBgn0032420	0.487	n
FBgn0003082	0.669	n
FBgn0032030	0.954	n
FBgn0039326	0.175	n
FBgn0004364	0.617	n
FBgn0266557	0.213	n
FBgn0023177	0.888	n
FBgn0030245	0.742	n
FBgn0259745	0.704	n
FBgn0034788	0.993	n
FBgn0035111	0.844	n
FBgn0039450	0.888	n
FBgn0031816	0.526	n
FBgn0000014	0.501	n
FBgn0003174	0.981	n
FBgn0016081	0.912	n
FBgn0003116	0.954	n
FBgn0250862	0.588	n
FBgn0264307	0.578	n
FBgn0038545	0.993	n
FBgn0054015	0.98	n
FBgn0034301	0.624	n
FBgn0002940	0.028	y
FBgn0031829	0.67	n
FBgn0038394	0.382	n
FBgn0003410	0.988	n
FBgn0002772	0.987	n
FBgn0034641	0.844	n
FBgn0028996	0.9	n
FBgn0037050	0.888	n
FBgn0032850	0.816	n
FBgn0039049	0.866	n
FBgn0010452	0.433	n
FBgn0036193	0.197	n
FBgn0004367	0.844	n
FBgn0019650	0.887	n
FBgn0052029	0.971	n
FBgn0032940	0.98	n
FBgn0053909	0	y
FBgn0039491	0.401	n
FBgn0002531	0.534	n
FBgn0033460	0.479	n
FBgn0261362	0.036	y
FBgn0031700	0.315	n
FBgn0034232	0.709	n
FBgn0032398	0.887	n
FBgn0037816	0.888	n
FBgn0036839	0.883	n
FBgn0034763	0.578	n
FBgn0017482	0.816	n
FBgn0001321	0.824	n
FBgn0052000	0.861	n
FBgn0031738	0.929	n
FBgn0039879	0.063	n
FBgn0023517	0.979	n
FBgn0025679	0.844	n
FBgn0039302	0.573	n
FBgn0030309	0.943	n
FBgn0040285	0.396	n
FBgn0038890	0.636	n
FBgn0035854	0.499	n
FBgn0025825	0.934	n
FBgn0034085	0.063	n
FBgn0032083	0.954	n
FBgn0034488	0.74	n
FBgn0015324	0.993	n
FBgn0038405	0.608	n
FBgn0031454	0.578	n
FBgn0037206	0.558	n
FBgn0021767	0.98	n
FBgn0036449	0.697	n
FBgn0052528	0.844	n
FBgn0032857	0.943	n
FBgn0035987	0.993	n
FBgn0036687	0.802	n
FBgn0030007	0.888	n
FBgn0025390	0.046	y
FBgn0033668	0.915	n
FBgn0032801	0.359	n
FBgn0039838	0.35	n
FBgn0086451	0.596	n
FBgn0039742	0.663	n
FBgn0002945	0.888	n
FBgn0029888	0.98	n
FBgn0033203	0.938	n
FBgn0262728	0.98	n
FBgn0262477	0.844	n
FBgn0037680	0.993	n
FBgn0052183	0.43	n
FBgn0030590	0.345	n
FBgn0261575	0.614	n
FBgn0024986	0.611	n
FBgn0037671	0.954	n
FBgn0032781	0.816	n
FBgn0038016	0.923	n
FBgn0038531	0.5	n
FBgn0039227	0.191	n
FBgn0030433	0.611	n
FBgn0030026	0.961	n
FBgn0033405	0.261	n
FBgn0030894	0.578	n
FBgn0001180	0.888	n
FBgn0035335	0.954	n
FBgn0037370	0.802	n
FBgn0040153	0.578	n
FBgn0034730	0.182	n
FBgn0025697	0.022	y
FBgn0032120	0.615	n
FBgn0015372	0.954	n
FBgn0039402	0.722	n
FBgn0051694	0.888	n
FBgn0260960	0.741	n
FBgn0011289	0.993	n
FBgn0038195	0.816	n
FBgn0011774	0.993	n
FBgn0040232	0.968	n
FBgn0263397	0.607	n
FBgn0036975	0.998	n
FBgn0001104	0.816	n
FBgn0010044	0.275	n
FBgn0035521	0.742	n
FBgn0263934	0.469	n
FBgn0050011	0.816	n
FBgn0010482	0.888	n
FBgn0028579	0.954	n
FBgn0015513	0.917	n
FBgn0052137	0.62	n
FBgn0004908	0.914	n
FBgn0004859	0.914	n
FBgn0032231	0.802	n
FBgn0013672	0.676	n
FBgn0030778	0.253	n
FBgn0038834	0.014	y
FBgn0024196	0.859	n
FBgn0003275	0.364	n
FBgn0037071	0.656	n
FBgn0061492	0.709	n
FBgn0032719	0.993	n
FBgn0052547	0.804	n
FBgn0053337	0.091	n
FBgn0035592	0	y
FBgn0004107	0.954	n
FBgn0020617	0.888	n
FBgn0030559	0.141	n
FBgn0036918	0.844	n
FBgn0035524	0.98	n
FBgn0034945	0.004	y
FBgn0037884	0.454	n
FBgn0062442	0.501	n
FBgn0014903	0.597	n
FBgn0035199	0.591	n
FBgn0033059	0.34	n
FBgn0033302	0.222	n
FBgn0026411	0.996	n
FBgn0066304	0.492	n
FBgn0034976	0.285	n
FBgn0035923	0.642	n
FBgn0027082	0.642	n
FBgn0033313	0.435	n
FBgn0260753	0.089	n
FBgn0033971	0.307	n
FBgn0015777	0.52	n
FBgn0033183	0.521	n
FBgn0030228	0.596	n
FBgn0032042	0.866	n
FBgn0023388	0.448	n
FBgn0032486	0.888	n
FBgn0031877	0.888	n
FBgn0033062	0.709	n
FBgn0040294	0.016	y
FBgn0032248	0.195	n
FBgn0032643	0.941	n
FBgn0026441	0.954	n
FBgn0024814	0.578	n
FBgn0261262	0.934	n
FBgn0031356	0.888	n
FBgn0011591	0.724	n
FBgn0004574	0.954	n
FBgn0025687	0.457	n
FBgn0032363	0.816	n
FBgn0053513	0.033	y
FBgn0003091	0.98	n
FBgn0259822	0.888	n
FBgn0040206	0.817	n
FBgn0033075	0.755	n
FBgn0020912	0.764	n
FBgn0036059	0.816	n
FBgn0032031	0.302	n
FBgn0035734	0.458	n
FBgn0037408	0.832	n
FBgn0263109	0.611	n
FBgn0039875	0.947	n
FBgn0265351	0.824	n
FBgn0014032	0.98	n
FBgn0034753	0.71	n
FBgn0250815	0.216	n
FBgn0016726	0.676	n
FBgn0013765	0.888	n
FBgn0039827	0.707	n
FBgn0037332	0.676	n
FBgn0005596	0.529	n
FBgn0030528	0.349	n
FBgn0037312	0.98	n
FBgn0033247	0.987	n
FBgn0036121	0.401	n
FBgn0030734	0.742	n
FBgn0035936	0.775	n
FBgn0260005	0.428	n
FBgn0085397	0.085	n
FBgn0035469	0.709	n
FBgn0005666	0.083	n
FBgn0259713	0.407	n
FBgn0265045	0.003	y
FBgn0010246	0.782	n
FBgn0010197	0.646	n
FBgn0034083	0.764	n
FBgn0031726	0.303	n
FBgn0032513	0.971	n
FBgn0041105	0.265	n
FBgn0026404	0.107	n
FBgn0024912	0.628	n
FBgn0024182	0.772	n
FBgn0037796	0.709	n
FBgn0031549	0.401	n
FBgn0031534	0.709	n
FBgn0051719	0.923	n
FBgn0038235	0.802	n
FBgn0011653	0.762	n
FBgn0259143	0.617	n
FBgn0040337	0.816	n
FBgn0028554	0.826	n
FBgn0030151	0.888	n
FBgn0020236	0.844	n
FBgn0030789	0.736	n
FBgn0037537	0.089	n
FBgn0010433	0.984	n
FBgn0036337	0.962	n
FBgn0035917	0.427	n
FBgn0266599	0.001	y
FBgn0035295	0.122	n
FBgn0014011	0.579	n
FBgn0032129	0.888	n
FBgn0020907	0.804	n
FBgn0039378	0.032	y
FBgn0036031	0.98	n
FBgn0010408	0.844	n
FBgn0003386	0.943	n
FBgn0039638	0.404	n
FBgn0040078	0.844	n
FBgn0030959	0.238	n
FBgn0036900	0.084	n
FBgn0030653	0.802	n
FBgn0035113	0.009	y
FBgn0264089	0.809	n
FBgn0027338	0.352	n
FBgn0085419	0.893	n
FBgn0259175	0.565	n
FBgn0027101	0.52	n
FBgn0039008	0.888	n
FBgn0034168	0.248	n
FBgn0010747	0.709	n
FBgn0265605	0.99	n
FBgn0033538	0.98	n
FBgn0030854	0.667	n
FBgn0039219	0.972	n
FBgn0040503	0.472	n
FBgn0026428	0	y
FBgn0034308	0.888	n
FBgn0010323	0.98	n
FBgn0267486	0.255	n
FBgn0263601	0.001	y
FBgn0032883	0.664	n
FBgn0001225	0.273	n
FBgn0259164	0.892	n
FBgn0086676	0.918	n
FBgn0019982	0.888	n
FBgn0005619	0.888	n
FBgn0020391	0.345	n
FBgn0051040	0.565	n
FBgn0023081	0.108	n
FBgn0050463	0.958	n
FBgn0027885	0.676	n
FBgn0031188	0.888	n
FBgn0029813	0.077	n
FBgn0037275	0.844	n
FBgn0027066	0.954	n
FBgn0052590	0.888	n
FBgn0000037	0.527	n
FBgn0037297	0.65	n
FBgn0052195	0.349	n
FBgn0051720	0.571	n
FBgn0033194	0.841	n
FBgn0027950	0.888	n
FBgn0010328	0.741	n
FBgn0030806	0.888	n
FBgn0021818	0.741	n
FBgn0023143	0.996	n
FBgn0037186	0.98	n
FBgn0028956	0.307	n
FBgn0035400	0.608	n
FBgn0051108	0.871	n
FBgn0039489	0.676	n
FBgn0030323	0.533	n
FBgn0039141	0.888	n
FBgn0039873	0.291	n
FBgn0261553	0.182	n
FBgn0000054	0.13	n
FBgn0033431	0.888	n
FBgn0034002	0.844	n
FBgn0033543	0.786	n
FBgn0030647	0	y
FBgn0035755	0.611	n
FBgn0043900	0.396	n
FBgn0025629	0.993	n
FBgn0003720	0.79	n
FBgn0038397	0.529	n
FBgn0002941	0.946	n
FBgn0031196	0.663	n
FBgn0024289	0.419	n
FBgn0035761	0.676	n
FBgn0036207	0.844	n
FBgn0038860	0.154	n
FBgn0035737	0.019	y
FBgn0040726	0.022	y
FBgn0026317	0.578	n
FBgn0052571	0.063	n
FBgn0038787	0.127	n
FBgn0261963	0.549	n
FBgn0050361	0.974	n
FBgn0039306	0.629	n
FBgn0051345	0.437	n
FBgn0011828	0.404	n
FBgn0003028	0.231	n
FBgn0002521	0.888	n
FBgn0053993	0.628	n
FBgn0040871	0.315	n
FBgn0036860	0.817	n
FBgn0003996	0.874	n
FBgn0261862	0.962	n
FBgn0040505	0.655	n
FBgn0040502	0.311	n
FBgn0033665	0.888	n
FBgn0262733	0.236	n
FBgn0011286	0.24	n
FBgn0036317	0.954	n
FBgn0036302	0.444	n
FBgn0033880	0.591	n
FBgn0011230	0.528	n
FBgn0261588	0.85	n
FBgn0026751	0.902	n
FBgn0033273	0.236	n
FBgn0016650	0.882	n
FBgn0026373	0.993	n
FBgn0000499	0.595	n
FBgn0017550	0.954	n
FBgn0033761	0.596	n
FBgn0035121	0.534	n
FBgn0053113	0.888	n
FBgn0038603	0.413	n
FBgn0051323	0.962	n
FBgn0029128	0.736	n
FBgn0013683	0.709	n
FBgn0039465	0.578	n
FBgn0261986	0.539	n
FBgn0040507	0.578	n
FBgn0259958	0.036	y
FBgn0010051	0.85	n
FBgn0039639	0.709	n
FBgn0020299	0.891	n
FBgn0266465	0.709	n
FBgn0040372	0.578	n
FBgn0004244	0.693	n
FBgn0036485	0.249	n
FBgn0266137	0.766	n
FBgn0037473	0.929	n
FBgn0031681	0.448	n
FBgn0034994	0.355	n
FBgn0004888	0.565	n
FBgn0005664	0.122	n
FBgn0265298	0.459	n
FBgn0262483	0.168	n
FBgn0032456	0.158	n
FBgn0051014	0.196	n
FBgn0035951	0.174	n
FBgn0037554	0.987	n
FBgn0001087	0.852	n
FBgn0031764	0.888	n
FBgn0035617	0.003	y
FBgn0039846	0.824	n
FBgn0000524	0.859	n
FBgn0051997	0.007	y
FBgn0033373	0.888	n
FBgn0032338	0.58	n
FBgn0024234	0.669	n
FBgn0030655	0.888	n
FBgn0041096	0.674	n
FBgn0038889	0.257	n
FBgn0002891	0.368	n
FBgn0032021	0.95	n
FBgn0015625	0.774	n
FBgn0037279	0.397	n
FBgn0030792	0.888	n
FBgn0000464	0.032	y
FBgn0037093	0.375	n
FBgn0264953	0.703	n
FBgn0001123	0.888	n
FBgn0000046	0.003	y
FBgn0039396	0.975	n
FBgn0010473	0.522	n
FBgn0033264	0.534	n
FBgn0029093	0.497	n
FBgn0040705	0.499	n
FBgn0039183	0.741	n
FBgn0000233	0.302	n
