ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005198	structural molecule activity	18/68	238/4751	2.81560834365333e-09	4.02631993142426e-07	3.43800597751354e-07	His4:CG33909, dpy, vkg, His1:CG33864, zye, Vajk4, His3:CG33866, Cpr11B, His1:CG33861, Nup54, CG32564, prc, Muc68E, His2B:CG17949, Muc18B, Cpr56F, tnc, His2A:CG33865	18
GO:0005201	extracellular matrix structural constituent	6/68	16/4751	4.91863526682609e-08	3.51682421578065e-06	3.00295626816751e-06	dpy, vkg, prc, Muc68E, Muc18B, tnc	6
GO:0061134	peptidase regulator activity	7/68	35/4751	4.39991527054801e-07	2.09729294562788e-05	1.79084270660901e-05	Cp1, Diap1, Tep2, Spn88Ea, Diap2, Spn38F, CG30203	7
GO:0004866	endopeptidase inhibitor activity	6/68	29/4751	2.52059047655669e-06	8.91032628592807e-05	7.60837577598569e-05	Diap1, Tep2, Spn88Ea, Diap2, Spn38F, CG30203	6
GO:0061135	endopeptidase regulator activity	6/68	30/4751	3.11549870137345e-06	8.91032628592807e-05	7.60837577598569e-05	Diap1, Tep2, Spn88Ea, Diap2, Spn38F, CG30203	6
GO:0030414	peptidase inhibitor activity	6/68	31/4751	3.82001319052947e-06	9.10436477076191e-05	7.77406193160384e-05	Diap1, Tep2, Spn88Ea, Diap2, Spn38F, CG30203	6
GO:0004857	enzyme inhibitor activity	6/68	45/4751	3.61052914519951e-05	0.00073757952537647	0.000629806587734049	Diap1, Tep2, Spn88Ea, Diap2, Spn38F, CG30203	6
GO:0008061	chitin binding	6/68	52/4751	8.34215293566601e-05	0.0014911598372503	0.00127327597439113	teq, Vajk4, CG31077, CG43896, Muc68E, Muc18B	6
GO:0003713	transcription coactivator activity	5/68	38/4751	0.000180229917911614	0.0028636531401512	0.00244522461728038	CG32603, CG11584, CG31626, CG32564, CG1368	5
GO:0031490	chromatin DNA binding	4/68	33/4751	0.00114912432617605	0.0164324778643175	0.0140314128248865	His1:CG33864, His3:CG33866, His1:CG33861, dwg	4
GO:0005214	structural constituent of chitin-based cuticle	5/68	69/4751	0.00286620117555395	0.0341178016524697	0.0291326094345711	zye, Vajk4, Cpr11B, CG32564, Cpr56F	5
GO:0042302	structural constituent of cuticle	5/68	69/4751	0.00286620117555395	0.0341178016524697	0.0291326094345711	zye, Vajk4, Cpr11B, CG32564, Cpr56F	5
GO:0004867	serine-type endopeptidase inhibitor activity	3/68	21/4751	0.0031016183320427	0.0341178016524697	0.0291326094345711	Spn88Ea, Spn38F, CG30203	3
GO:0140678	molecular function inhibitor activity	6/68	105/4751	0.00364254928428224	0.0372060391180257	0.031769602780206	Diap1, Tep2, Spn88Ea, Diap2, Spn38F, CG30203	6
