#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
FBgn0038376	0.257289	1.39437e-05	1.77786e-05	0.784299	N/S
FBgn0038376	0.819873	3.64911e-06	1.77786e-05	0.205253	N/S
FBgn0038376	1.92284	1.85764e-07	1.77786e-05	0.0104487	N/S
FBgn0011740	0.257289	3.71661e-07	4.89903e-07	0.758643	N/S
FBgn0011740	0.819873	1.10713e-07	4.89903e-07	0.225989	N/S
FBgn0011740	1.92284	7.5288e-09	4.89903e-07	0.0153679	N/S
FBgn0038304	0.257289	8.60824e-06	9.14098e-06	0.94172	N/S
FBgn0038304	0.819873	5.13667e-07	9.14098e-06	0.0561939	N/S
FBgn0038304	1.92284	1.90684e-08	9.14098e-06	0.00208604	N/S
FBgn0033466	0.257289	1.39437e-05	1.77786e-05	0.784299	N/S
FBgn0033466	0.819873	3.64911e-06	1.77786e-05	0.205253	N/S
FBgn0033466	1.92284	1.85764e-07	1.77786e-05	0.0104487	N/S
FBgn0026620	0.257289	1.31791e-06	2.65755e-06	0.495912	N/S
FBgn0026620	0.819873	1.19786e-06	2.65755e-06	0.45074	N/S
FBgn0026620	1.92284	1.41773e-07	2.65755e-06	0.0533472	N/S
FBgn0032394	0.257289	1.0661e-05	1.36185e-05	0.78283	N/S
FBgn0032394	0.819873	2.81074e-06	1.36185e-05	0.206391	N/S
FBgn0032394	1.92284	1.46783e-07	1.36185e-05	0.0107782	N/S
FBgn0069242	0.257289	4.11425e-05	4.95514e-05	0.830298	N/S
FBgn0069242	0.819873	8.02188e-06	4.95514e-05	0.16189	N/S
FBgn0069242	1.92284	3.87095e-07	4.95514e-05	0.00781198	N/S
FBgn0032407	0.257289	3.20036e-05	4.17214e-05	0.767079	N/S
FBgn0032407	0.819873	9.20085e-06	4.17214e-05	0.22053	N/S
FBgn0032407	1.92284	5.1695e-07	4.17214e-05	0.0123905	N/S
FBgn0027600	0.257289	9.57804e-12	1.35635e-09	0.00706165	N/S
FBgn0027600	0.819873	5.55193e-10	1.35635e-09	0.40933	N/S
