Gene	Sendai Day 0 rep1	Sendai Day 0 rep2	Sendai Day 0 rep3	Sendai Day 7 rep1	Sendai Day 7 rep2	Sendai Day 7 rep3	Sapporo Day 0 rep1	Sapporo Day 0 rep2	Sapporo Day 0 rep3	Sapporo Day 7 rep1	Sapporo Day 7 rep2	Sapporo Day 7 rep3	Sapporo Day 31 rep1	Sapporo Day 31 rep2	Sapporo Day 31 rep3
Trf4-1_FBgn0030049_LOC123744847	1.839128	1.334005	0.419551	2.335133	5.350353	6.669933	0.115852	1.167311	0.140482	2.775837	1.701451	0.138822	4.454057	4.49003	4.297012
P5cr-2_FBgn0038516_LOC123744851	0.701234	3.485598	0.36652	22.68091	46.726736	26.116182	0.414072	0.384303	0	13.337389	1.136895	0.112136	2.310087	4.127968	7.366907
GstD1_FBgn0001149_LOC123744853	6.30836	50.188236	2.619911	50.640888	82.789523	80.770681	2.167909	5.261903	1.575259	49.387689	2.203363	0.345725	17.469721	34.276557	28.192699
resilin_FBgn0034157_LOC123744855	0.07173	0.873213	0	4.653978	6.491617	0.91323	0	0	0	0.848997	0.513538	0	0.856654	0.72114	0.709262
CG8312_FBgn0037720_LOC123744859	0.422269	1.665861	0.24771	5.191641	9.106836	7.328628	0.33248	0.924652	0.232852	2.648853	1.215599	0.185316	4.793066	4.15085	3.270322
NA_NA_LOC123744887	0.297239	0.561685	0.149064	5.085781	8.678157	7.08956	0.179111	0.726892	0.466931	5.426934	2.595085	0.484351	3.240409	4.055362	2.08825
S_FBgn0003310_LOC123744904	0	0.378602	0	3.934259	6.103575	10.502604	0	0.628963	0	2.843142	0	0	1.344663	1.211532	1.249673
CG31954_FBgn0051954_LOC123744934	0	437.002841	0	103.277466	320.922983	255.993684	0.954846	80.947205	2.82251	2.690036	0.764941	0.064812	0.608227	106.565298	13.230767
CG14304_FBgn0038629_LOC123744940	0.157966	3.371784	0	1.721293	2.643303	3.815259	0.029688	0.317821	0.032352	1.436574	8.104294	0	3.147595	2.711497	1.709467
CG15544_FBgn0039804_LOC123744942	0.215285	1.330127	0.320628	22.531546	39.418298	17.200015	0.155049	0.474319	0.339617	3.425357	2.82454	0.02524	28.677101	13.553713	9.214446
Btk29A_FBgn0003502_LOC123744967	1.017716	3.869031	0.555112	12.697055	19.44112	14.956569	0.178146	2.620357	0.356061	5.621651	4.649263	0.23041	10.483535	12.435233	12.384751
Sox14_FBgn0005612_LOC123744984	0.065378	0.757711	0.200389	2.497842	3.098497	3.397534	0.193094	0.176554	0	2.066392	3.626466	0	2.847982	2.797098	2.472069
CG11570_FBgn0036230_LOC123744990	0	123.532017	0	14.266948	57.56596	51.806929	0	36.456255	2.42801	0	0	0	0	43.717614	4.875891
lambdaTry_FBgn0043470_LOC123744995	0	155.939702	0	40.476618	98.997526	74.365287	1.329733	45.125517	3.932774	1.346126	0.808423	0.369496	0.758102	101.803635	10.538352
S_FBgn0003310_LOC123745008	0	0.899752	0	4.773032	3.820136	7.342283	0	0	0	1.160977	0	0	0.390573	1.08973	0.426961
wus_FBgn0030805_LOC123745031	0	1.670408	0.560343	3.145	5.116038	4.223568	0	0.195514	0.295991	2.419207	1.105069	0.131989	3.907431	4.373216	4.924141
crol_FBgn0020309_LOC123745032	0.503459	0.501497	1.264207	0.851837	0.638971	1.017238	0.373926	1.77628	1.483742	0.358122	0.332375	0.551087	0.603602	0.540731	0.57149
nw_FBgn0283508_LOC123745037	0.46104	4.233999	1.307379	28.533566	88.474305	96.045404	0.579243	0.96872	0	22.031795	0.141843	0	13.670735	23.442292	37.465067
NA_NA_LOC123745040	0	0	0	0	6.676645	0.284544	0	63.912852	0	0	0	0	0	0.815163	0
CG32052_FBgn0044328_LOC123745048	0.253175	3.309274	0	1.932329	7.790054	7.743659	0	0.540936	0.077993	4.174994	1.819772	0	4.638565	7.706838	2.935967
ck_FBgn0000317_LOC123745051	0.707567	0.363384	0.30106	1.068608	1.718193	4.268862	0.13564	0.534908	0.17963	0.974438	0.719709	0.02197	3.019957	3.36549	3.273202
NA_NA_LOC123745066	0.991851	2.104097	1.437503	113.11736	243.043904	170.384971	0.426098	4.769993	0.370997	86.877032	76.636351	3.948974	112.720057	123.885058	47.093735
grn_FBgn0001138_LOC123745067	0.63248	5.552924	0.185048	4.8516	5.924626	10.958284	0	0	0	3.921759	2.450069	0.08609	6.511312	6.468508	8.19405
grn_FBgn0001138_LOC123745070	0.206477	0.578991	0.030562	1.6263	3.457149	3.26655	0	0.095253	0	0.802406	0.231476	0	1.155911	0.700706	1.071928
NA_NA_LOC123745072	4.2797	5.779087	3.128621	31.70648	29.984681	30.258703	2.391993	22.381793	1.878372	24.253519	30.99392	1.078728	2.042117	2.147652	0.262741
NK7.1_FBgn0024321_LOC123745105	0	0.395866	0	1.700456	3.487889	2.778516	0.483308	0.347885	0.525789	0	0	0	3.288648	2.91746	2.279074
NA_NA_LOC123745142	0	0.559989	0	5.424045	11.65869	14.015453	0	0	0	0.615731	1.649932	0	8.386304	13.413675	23.006708
NA_NA_LOC123745143	0	0.275782	0.194275	17.04549	430.677098	80.66553	0	0	0	0.237012	0.497605	0	1.716119	6.128078	11.142572
NA_NA_LOC123745164	0	0	0	0	3.538534	0.520651	0	0	0	0.191667	55.281206	0	0	0	0
ptc_FBgn0003892_LOC123745177	0.05797	0.144941	0	0.992104	1.579327	1.618491	0	0.079093	0	0.179942	0.165709	0	1.585553	1.35064	1.539289
