ID	SEN0_1	SEN0_2	SEN0_3	SEN7_1	SEN7_2	SEN7_3	TON0_1	TON0_2	TON0_3	TON7_1	TON7_2	TON7_3	TON30_1	TON30_2	TON30_3
LOC123744846	9.576080	35.946046	12.943292	53.396400	66.542622	106.817303	3.928356	9.155597	13.772807	28.604383	3.461834	1.838705	27.705677	66.570431	32.222575
LOC123744847	1.839128	1.334005	0.419551	2.335133	5.350353	6.669933	0.115852	1.167311	0.140482	2.775837	1.701451	0.138822	4.454057	4.490030	4.297012
LOC123744848	6.163511	4.729104	2.563606	10.559862	16.734801	23.214304	1.494995	7.022135	2.466550	6.051552	3.073486	0.906923	11.864666	19.802707	15.519149
LOC123744850	1.268385	0.263848	0.134418	1.110710	1.806338	1.325891	0.313457	1.163814	0.227194	1.134671	0.365117	0.076048	1.574734	1.042628	2.179781
LOC123744853	6.308360	50.188236	2.619911	50.640888	82.789523	80.770681	2.167909	5.261903	1.575259	49.387689	2.203363	0.345725	17.469721	34.276557	28.192699
LOC123744855	0.071730	0.873213	0.0	4.653978	6.491617	0.913230	0.000000	0.000000	0.0	0.848997	0.513538	0.0	0.856654	0.721140	0.709262
LOC123744856	0.369756	32.827242	0.164605	3.132577	0.0	4.026984	0.000000	0.463437	0.086298	1.072367	0.000000	0.0	0.0	0.000000	0.0
LOC123744857	1.490380	2.803493	3.459945	2.334872	3.274558	3.906416	0.279360	0.855252	1.092222	2.434573	0.536144	0.000000	1.413710	2.195525	1.481333
LOC123744858	4.562223	2.227134	1.746679	4.807679	5.877865	6.978455	0.418136	3.858683	1.071625	2.650309	1.962647	0.425331	8.068282	10.897325	10.390554
LOC123744859	0.422269	1.665861	0.247710	5.191641	9.106836	7.328628	0.332480	0.924652	0.232852	2.648853	1.215599	0.185316	4.793066	4.150850	3.270322
LOC123744860	10.737372	3.372062	2.628274	4.076347	5.068887	5.676120	1.300237	8.055978	1.993322	3.509849	6.796549	0.821382	4.856335	5.580183	8.322095
LOC123744862	2.953536	10.246339	1.708846	14.864029	17.125433	15.378657	2.742946	4.575930	1.724501	21.386399	8.063678	1.258390	10.111240	12.831218	14.920042
LOC123744864	2.832871	3.802168	2.921648	8.533691	16.207055	12.188134	2.378305	4.613755	3.182603	4.727086	3.685663	0.731454	6.253430	9.121870	7.541647
LOC123744865	3.271793	7.518253	4.231302	8.887389	9.332724	9.226634	3.315841	6.957952	3.339628	6.992063	2.045012	1.961293	3.219525	4.698435	4.786808
LOC123744866	1.561764	10.045615	2.427239	4.779868	5.483588	10.858700	1.326251	6.464492	6.862576	2.451112	2.836020	0.000000	4.555558	8.696846	0.769321
LOC123744870	0.283742	10.248686	8.379541	2.165667	13.102366	8.758056	1.463710	1.063204	14.352884	1.781048	0.752873	0.232701	3.154850	2.515799	2.641433
LOC123744871	0.652697	2.645839	0.776355	2.267919	3.440447	4.631044	0.834882	1.288774	0.755087	2.679321	0.889862	0.128743	2.435451	3.179214	2.521544
LOC123744872	1.458780	4.841879	3.311437	4.931085	8.516735	9.159629	2.591123	2.584106	3.473009	4.065136	2.461735	1.167824	2.632625	5.511016	3.434984
LOC123744876	7.142248	7.220592	6.301871	7.680465	8.685297	9.119517	3.995637	10.599079	5.590115	6.135644	7.121465	2.962205	9.202813	15.128372	8.031427
LOC123744877	1.538634	7.482708	1.441671	3.641264	6.233261	22.431027	0.377787	3.578164	4.709970	1.476137	0.460345	0.000000	3.226484	5.444960	1.895700
LOC123744878	4.888877	3.018695	3.378165	5.031556	5.265727	6.545179	0.675523	2.996642	2.648419	2.141468	1.973600	1.976169	5.280444	7.390566	6.289565
