ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0098609	cell-cell adhesion	27/679	87/5525	2.64499959361076e-06	0.00444029019727482	0.00383670367768603	sli, Burs, mys, Lac, CG10939, rk, Cad74A, Cad99C, Cont, ed, Cad88C, Cals, Fas3, baz, p130CAS, Nrg, fw, fra, hh, brn, ft, Dscam4, sns, mbt, aop, Ten-m, POSH	27	BP
GO:0009888	tissue development	92/679	480/5525	3.9087061595729e-06	0.00444029019727482	0.00383670367768603	Btk, S, ck, grn, trc, sli, dyl, chas, Burs, Col4a1, Pxt, mats, mys, bdg, br, Inx2, phm, tup, SERCA, Cds, sty, Pvr, Lac, cmb, rk, mwh, Sec8, up, dysf, RhoGEF2, Egfr, Myo31DF, Cad99C, yrt, par-6, Abl, shn, Parp, cbt, ed, hth, loco, l(2)gl, lola, ovo, Pvf1, raw, baz, tnc, scrib, InR, pigs, Lam, CCT1, Zasp66, gol, dimm, ex, fw, Pten, kuz, pnr, Gli, hh, nclb, sinu, brn, msn, ft, f, Nedd4, nst, numb, Mad, Cdc42, dlt, cad, form3, fs(1)N, wupA, aop, VhaAC39-1, PDZ-GEF, byn, qm, slpr, VhaPPA1-1, sha, ftz-f1, POSH, spir, Msp300	92	BP
GO:0050954	sensory perception of mechanical stimulus	17/679	44/5525	7.48481296266892e-06	0.00450944511363289	0.00389645808790092	ck, CG31559, rdgA, Cad99C, Ank2, Fitm, CAP, CG5921, CG8086, Ubr3, dysc, Klp64D, pain, f, hmw, nrv3, Cdc42	17	BP
GO:0007605	sensory perception of sound	15/679	36/5525	8.71771197308791e-06	0.00450944511363289	0.00389645808790092	ck, CG31559, rdgA, Cad99C, Ank2, Fitm, CAP, CG5921, CG8086, Ubr3, dysc, Klp64D, f, hmw, nrv3	15	BP
GO:0048598	embryonic morphogenesis	42/679	175/5525	9.98191343420199e-06	0.00450944511363289	0.00389645808790092	Btk, S, sli, Col4a1, mys, Inx2, bowl, sob, tup, Pvr, Lac, RhoGEF2, Egfr, yrt, par-6, Abl, shn, Drp1, cbt, ed, l(2)gl, ea, Pvf1, raw, baz, tnc, scrib, InR, eve, gol, sinu, msn, nst, Mad, Cdc42, cad, aop, PDZ-GEF, byn, slpr, RhoGAP68F, POSH	42	BP
GO:0060429	epithelium development	82/679	427/5525	1.29563419447589e-05	0.00450944511363289	0.00389645808790092	Btk, S, ck, trc, sli, dyl, chas, Burs, Col4a1, Pxt, mats, mys, bdg, br, Inx2, phm, tup, SERCA, Cds, sty, Pvr, Lac, cmb, rk, mwh, Sec8, dysf, RhoGEF2, Egfr, Cad99C, yrt, par-6, Abl, shn, Parp, cbt, ed, hth, loco, l(2)gl, lola, ovo, Pvf1, raw, baz, tnc, scrib, InR, pigs, Lam, CCT1, dimm, ex, fw, Pten, kuz, pnr, Gli, hh, nclb, sinu, brn, msn, ft, f, numb, Mad, Cdc42, dlt, cad, form3, fs(1)N, aop, VhaAC39-1, PDZ-GEF, byn, qm, slpr, VhaPPA1-1, sha, POSH, spir	82	BP
GO:0042335	cuticle development	30/679	110/5525	1.38935368817915e-05	0.00450944511363289	0.00389645808790092	resilin, ck, dpy, Burs, Edg78E, Cpr11B, Cpr67Fb, serp, Alas, Cpr50Cb, Cpr65Az, CrebA, Cpr57A, Gasp, l(2)gl, ovo, pio, Lam, Desat1, Cpr72Eb, e, Cpr47Ef, f, Cpr30B, verm, Cht7, pot, Cpr50Ca, sha, Cpr66D	30	BP
GO:0048608	reproductive structure development	18/679	52/5525	2.39965926271709e-05	0.00605780649432581	0.00523434447364605	Btk, sli, Col4a1, mys, br, Pvr, Egfr, Myo31DF, lola, raw, tnc, InR, Lam, hh, nclb, aop, PDZ-GEF, slpr	18	BP
GO:0061458	reproductive system development	18/679	52/5525	2.39965926271709e-05	0.00605780649432581	0.00523434447364605	Btk, sli, Col4a1, mys, br, Pvr, Egfr, Myo31DF, lola, raw, tnc, InR, Lam, hh, nclb, aop, PDZ-GEF, slpr	18	BP
GO:0040003	chitin-based cuticle development	24/679	82/5525	2.8509983706413e-05	0.00647746829809702	0.00559695995920633	resilin, ck, dpy, Edg78E, Cpr11B, Cpr67Fb, serp, Alas, Cpr50Cb, Cpr65Az, CrebA, Cpr57A, Gasp, l(2)gl, pio, Lam, Cpr72Eb, Cpr47Ef, Cpr30B, verm, Cht7, pot, Cpr50Ca, Cpr66D	24	BP
GO:0016331	morphogenesis of embryonic epithelium	26/679	94/5525	3.97474045371965e-05	0.0082096457371373	0.00709367554659056	Btk, Col4a1, mys, Inx2, tup, Pvr, Lac, RhoGEF2, Egfr, yrt, par-6, Abl, shn, cbt, ed, l(2)gl, Pvf1, raw, scrib, sinu, msn, Cdc42, aop, PDZ-GEF, slpr, POSH	26	BP
GO:0003008	system process	58/679	284/5525	4.37781373475451e-05	0.00828866067113521	0.00716194966255892	Btk, ck, rdgB, MRP, svr, Col4a1, Ms, dnc, mys, CG31559, SERCA, Mlc2, CG10939, Cubn2, up, rdgA, Egfr, Mp, Cad99C, Abl, fln, S6kII, Npc1a, Ank2, nAChRbeta2, loco, meng, Psn, Ptr, Fitm, b6, CAP, Klp68D, CG5921, aru, scrib, dpr8, CG8086, CG3740, Ubr3, ITP, TkR99D, dysc, pnr, Klp64D, sinu, pain, f, hmw, Uba5, sns, nrv3, wnd, Cdc42, wupA, Tpi, Nox, ClC-a	58	BP
GO:0043297	apical junction assembly	14/679	37/5525	6.32188443032274e-05	0.00963679441910226	0.00832682616365165	Lac, crok, par-6, Cont, loco, l(2)gl, baz, bou, scrib, Nrg, vari, Gli, sinu, Tsf2	14	BP
GO:0030030	cell projection organization	86/679	473/5525	6.70711260671377e-05	0.00963679441910226	0.00832682616365165	Sox14, ck, grn, trc, sli, dnc, mys, br, trol, HDAC1, Sema1a, Acsl, tup, Pvr, CG42327, cmb, mwh, RhoGEF2, Egfr, Mp, Cad99C, par-6, spas, Abl, IFT57, shn, Cont, Poxm, spz, Strn-Mlck, Ank2, lola, Flo2, ovo, Khc, Fitm, Fas3, Pvf1, C1GalTA, baz, CG13855, p130CAS, raptor, scrib, Nrg, InR, CG12964, fru, Hr51, CG14105, sky, eve, Rsph3, sas, fw, fra, dysc, Pten, SH3PX1, kuz, Klp64D, Gli, hh, msn, eIF2beta, ft, Dscam4, f, Nedd4, vvl, IFT52, hmw, ttv, wnd, Cdc42, DAAM, PDZ-GEF, Gclc, pnut, Ten-m, IFT20, Rel, conv, haf, sha, ftz-f1	86	BP
GO:0060541	respiratory system development	44/679	201/5525	6.99812912841392e-05	0.00963679441910226	0.00832682616365165	Btk, wus, knrl, dpy, sli, ksr, mys, mbf1, serp, Cds, sty, Lac, exp, dysf, RhoGEF2, crok, Egfr, par-6, ed, Cad88C, Gasp, Stam, baz, bou, Nrg, pio, InR, Lam, vari, Pten, Gli, hh, sinu, ft, nst, Cdc42, verm, DAAM, form3, Vha68-2, aop, VhaAC39-1, conv, VhaPPA1-1	44	BP
GO:0006811	monoatomic ion transport	42/679	189/5525	7.10328153031715e-05	0.00963679441910226	0.00832682616365165	Ncc69, MRP, Mco1, Ae2, bdg, CG10444, bumpel, Best1, SERCA, galene, Trpm, Nhe3, CG42638, crok, Cnx99A, Vha16-1, nAChRbeta2, aralar1, Grik, Psn, NAAT1, MFS10, Ndae1, Vha55, dysc, CG10413, Letm1, pain, Nedd4, nrv3, SPoCk, VhaSFD, pyx, Tsf2, mfrn, Fer3HCH, Vha68-2, MICU3, VhaAC39-1, sand, VhaPPA1-1, ClC-a	42	BP
GO:0007155	cell adhesion	35/679	148/5525	7.60998657361745e-05	0.00963679441910226	0.00832682616365165	crol, sli, dyl, Burs, mys, Lac, CG10939, rk, Cad74A, Cad99C, Cont, ed, Cad88C, Strn-Mlck, Cals, Flo2, Fas3, baz, p130CAS, CG5639, Nrg, fw, fra, Pten, Gli, hh, sinu, brn, ft, Dscam4, sns, mbt, aop, Ten-m, POSH	35	BP
GO:0019991	septate junction assembly	12/679	29/5525	7.63478431090848e-05	0.00963679441910226	0.00832682616365165	Lac, crok, Cont, loco, l(2)gl, bou, scrib, Nrg, vari, Gli, sinu, Tsf2	12	BP
