ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0005576	extracellular region	83/656	275/5406	1.64861192910893e-16	5.53933608180599e-14	5.24085055358837e-14	resilin, CG14304, CG11570, ck, sli, Burs, Hml, svr, Col4a1, Ms, PPO2, Pxt, Wnt6, Cpr67Fb, Tep2, grass, Spn88Ea, CG5550, SPE, Sema1a, CG14607, CG5966, GNBP1, Spn38F, serp, Cht6, Cda5, GLaz, CG41520, Mp, Ance, CG12009, spz, Cals, CG31077, Gasp, CG8483, obst-B, ckd, PPO1, IM33, CG13643, ea, Pvf1, Cda4, CG31997, tnc, CG5639, bou, Hexo2, Fkbp14, CG6472, CG31145, eys, SiaT, CG6426, ITP, Cht8, CG5390, fra, Tep3, kuz, CG3097, Cp1, hh, CG11836, Trissin, spz3, Mur89F, Tg, Tsf2, CG15202, NLaz, verm, CG10433, GCS2alpha, CG8642, l(2)34Fc, Cht7, PPO3, CG8560, CG13676, CG5756	83	CC
GO:0005615	extracellular space	50/656	175/5406	2.12145543420696e-09	3.56404512946769e-07	3.37199758489737e-07	Burs, Hml, svr, Col4a1, Ms, PPO2, Pxt, Wnt6, Cpr67Fb, Tep2, Spn88Ea, CG5550, Sema1a, CG5966, GNBP1, Spn38F, serp, GLaz, CG41520, Mp, Ance, spz, CG8483, IM33, ea, Pvf1, CG31997, tnc, CG5639, Hexo2, Fkbp14, CG6472, eys, CG6426, ITP, CG5390, Tep3, CG3097, Cp1, hh, CG11836, Trissin, spz3, Tg, Tsf2, CG15202, NLaz, CG10433, CG8642, CG8560	50	CC
GO:0030312	external encapsulating structure	34/656	106/5406	3.86753161566661e-08	4.3316354095466e-06	4.09822648396953e-06	resilin, ck, dpy, Hml, Col4a1, Edg78E, Cpr11B, Cpr67Fb, trol, CG5550, serp, Cpr50Cb, Sgs4, Cpr65Az, CG41520, CG15570, Mp, Cpr57A, Gasp, obst-B, l(2)gl, tnc, CG5639, eys, Cpr72Eb, Cpr47Ef, Mur89F, Cpr30B, verm, fs(1)N, CG8642, Ten-m, Cpr50Ca, Cpr66D	34	CC
GO:0031012	extracellular matrix	32/656	103/5406	2.25092915919596e-07	1.89078049372461e-05	1.78889633178206e-05	resilin, dpy, Hml, Col4a1, Edg78E, Cpr11B, Cpr67Fb, trol, CG5550, serp, Cpr50Cb, Sgs4, Cpr65Az, CG41520, Mp, Cpr57A, Gasp, obst-B, l(2)gl, tnc, CG5639, eys, Cpr72Eb, Cpr47Ef, Mur89F, Cpr30B, verm, fs(1)N, CG8642, Ten-m, Cpr50Ca, Cpr66D	32	CC
GO:0062129	chitin-based extracellular matrix	16/656	40/5406	6.9470883028188e-06	0.000466844333949424	0.00044168856156869	resilin, Edg78E, Cpr11B, Cpr67Fb, serp, Cpr50Cb, Cpr65Az, Cpr57A, Gasp, obst-B, Cpr72Eb, Cpr47Ef, Cpr30B, verm, Cpr50Ca, Cpr66D	16	CC
GO:0005918	septate junction	12/656	29/5406	6.71939758898646e-05	0.00350835538749647	0.00331930866862135	Lac, yrt, Cont, l(2)gl, Fas3, bou, scrib, Nrg, vari, Gli, sinu, Tsf2	12	CC
GO:0043296	apical junction complex	16/656	47/5406	7.30907372395099e-05	0.00350835538749647	0.00331930866862135	Lac, yrt, par-6, Cont, lft, l(2)gl, Fas3, baz, bou, scrib, Nrg, vari, fw, Gli, sinu, Tsf2	16	CC
GO:0005911	cell-cell junction	26/656	100/5406	9.98587339755595e-05	0.0041940668269735	0.00396807074481829	RASSF8, Inx2, Lac, yrt, par-6, Abl, Cont, ed, lft, l(2)gl, Fas3, baz, bou, scrib, Nrg, vari, Zasp66, ex, fw, Gli, sinu, ogre, sns, Tsf2, mbt, PDZ-GEF	26	CC
GO:0070161	anchoring junction	29/656	125/5406	0.000351156049457555	0.0131098258464154	0.0124034066592025	RASSF8, chas, mys, Inx2, Lac, yrt, par-6, Abl, Cont, ed, lft, l(2)gl, Fas3, baz, p130CAS, bou, scrib, Nrg, vari, Zasp66, ex, fw, Gli, sinu, ogre, sns, Tsf2, mbt, PDZ-GEF	29	CC
GO:0070160	tight junction	12/656	34/5406	0.000399210554657592	0.0134134746364951	0.0126906934217466	Lac, yrt, Cont, l(2)gl, Fas3, bou, scrib, Nrg, vari, Gli, sinu, Tsf2	12	CC
GO:0098590	plasma membrane region	39/656	194/5406	0.000843521880747252	0.0257657592664615	0.0243773787546096	dyl, chas, mys, Inx2, CG10939, Cad74A, Graf, Sec8, RhoGEF2, Egfr, Cad99C, yrt, par-6, ninaC, Cals, Ank2, nAChRbeta2, l(2)gl, Grik, Flo2, Psn, baz, scrib, dpr8, Arl4, ex, sas, SH3PX1, rtet, ft, Cln7, ogre, sns, Sln, PDZ-GEF, pnut, Lrch, Ten-m, ClC-a	39	CC
GO:0016324	apical plasma membrane	18/656	69/5406	0.00110104961638484	0.0296073464273157	0.0280119630985255	dyl, chas, Inx2, CG10939, Cad74A, Sec8, RhoGEF2, Egfr, Cad99C, par-6, Psn, baz, ex, sas, sns, Sln, PDZ-GEF, ClC-a	18	CC
GO:0045177	apical part of cell	30/656	140/5406	0.00114552233200924	0.0296073464273157	0.0280119630985255	Btk, ck, dyl, chas, Inx2, sty, CG10939, raskol, Cad74A, exp, Sec8, RhoGEF2, Egfr, Cad99C, par-6, Abl, loco, Psn, baz, CG5921, pio, ex, sas, sns, Egfrap, Cdc42, Sln, PDZ-GEF, pot, ClC-a	30	CC
GO:0033181	plasma membrane proton-transporting V-type ATPase complex	6/656	12/5406	0.00151029603651117	0.0362471048762681	0.0342939400771709	Vha16-1, Vha55, VhaSFD, Vha68-2, VhaAC39-1, VhaPPA1-1	6	CC
