ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0008061	chitin binding	22/655	45/5209	2.68595874394213e-09	1.16839205361483e-06	1.03762827265975e-06	resilin, CG14304, CG11570, Hml, CG14607, serp, Cht6, Cda5, CG12009, CG31077, Gasp, obst-B, ckd, CG13643, Cda4, Cht8, Mur89F, verm, CG8642, Cht7, CG13676, CG5756	22	MF
GO:0022853	active monoatomic ion transmembrane transporter activity	23/655	56/5209	7.28917087494299e-08	1.5853946653001e-05	1.40796090058109e-05	UQCR-14L, Ncc69, bdg, bumpel, Vmat, SERCA, Nhe3, Vha16-1, mah, NaPi-III, CNT2, NAAT1, CG9706, Ndae1, Vha55, CG10413, Letm1, SPoCk, VhaSFD, CG6293, Vha68-2, VhaAC39-1, VhaPPA1-1	23	MF
GO:0015293	symporter activity	13/655	23/5209	6.00202626068416e-07	8.70293807799203e-05	7.72892504445995e-05	Ncc69, bdg, CG10444, bumpel, Vmat, mah, NaPi-III, CNT2, NAAT1, CG9706, Ndae1, CG10413, CG6293	13	MF
GO:0015294	solute:monoatomic cation symporter activity	12/655	21/5209	1.41518372608993e-06	0.000153901230212279	0.000136676954598685	Ncc69, bdg, bumpel, Vmat, mah, NaPi-III, CNT2, NAAT1, CG9706, Ndae1, CG10413, CG6293	12	MF
GO:0015291	secondary active transmembrane transporter activity	19/655	51/5209	5.76576268610307e-06	0.000501621353690967	0.000445481032799964	Ncc69, Ae2, bdg, CG10444, bumpel, Vmat, Nhe3, nac, mah, NaPi-III, CNT2, NAAT1, Oatp26F, CG9706, Ndae1, CG10413, sea, Letm1, CG6293	19	MF
GO:0022804	active transmembrane transporter activity	30/655	109/5209	1.77700049968483e-05	0.0012883253622715	0.00114413891821813	UQCR-14L, Ncc69, MRP, Ae2, bdg, CG10444, bumpel, Vmat, SERCA, Nhe3, Abcd3, Vha16-1, nac, mah, NaPi-III, CNT2, NAAT1, Oatp26F, CG9706, Ndae1, Vha55, CG10413, sea, Letm1, SPoCk, VhaSFD, CG6293, Vha68-2, VhaAC39-1, VhaPPA1-1	30	MF
GO:0005215	transporter activity	66/655	325/5209	3.1561308758088e-05	0.00196130990139547	0.00174180455852907	UQCR-14L, Ctl1, Ncc69, rdgB, MRP, chk, Ae2, CG17036, bdg, Inx2, CG10444, bumpel, Orct, Vmat, Best1, SERCA, CG15890, mnd, galene, Trpm, Nhe3, Abcd3, scramb1, CG42638, Tmep, Vha16-1, Npc1a, nAChRbeta2, nac, aralar1, Grik, CG11655, Osbp, mah, Glut1, NaPi-III, CNT2, NAAT1, CG33298, MFS10, Oatp26F, CG9706, Ndae1, Vha55, CG10413, sea, rtet, Letm1, Cln7, pain, ogre, SPoCk, VhaSFD, pyx, mfrn, CG11537, Tret1-2, CG6293, Vha68-2, Sln, VhaAC39-1, sand, nebu, CG10019, VhaPPA1-1, ClC-a	66	MF
GO:0015370	solute:sodium symporter activity	9/655	16/5209	3.74711123744435e-05	0.00203749173536037	0.00180946029492379	Ncc69, bdg, bumpel, Vmat, NaPi-III, CNT2, NAAT1, Ndae1, CG6293	9	MF
GO:0015318	inorganic molecular entity transmembrane transporter activity	35/655	142/5209	4.84957110420005e-05	0.00234395936703002	0.00208162876636423	UQCR-14L, Ncc69, MRP, Ae2, bdg, bumpel, Vmat, Best1, SERCA, galene, Trpm, Nhe3, CG42638, Vha16-1, Grik, mah, NaPi-III, CNT2, NAAT1, CG9706, Ndae1, Vha55, CG10413, Letm1, pain, SPoCk, VhaSFD, pyx, mfrn, CG6293, Vha68-2, VhaAC39-1, sand, VhaPPA1-1, ClC-a	35	MF
GO:0022890	inorganic cation transmembrane transporter activity	31/655	121/5209	5.95735667106555e-05	0.00259145015191352	0.00230142094555901	UQCR-14L, Ncc69, bdg, bumpel, Vmat, SERCA, galene, Trpm, Nhe3, CG42638, Vha16-1, Grik, mah, NaPi-III, CNT2, NAAT1, CG9706, Ndae1, Vha55, CG10413, Letm1, pain, SPoCk, VhaSFD, pyx, mfrn, CG6293, Vha68-2, VhaAC39-1, sand, VhaPPA1-1	31	MF
