ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0015267	channel activity	14/181	81/5209	5.372133566525e-07	7.4135443218045e-05	6.05071885913869e-05	AQP, Lcch3, nAChRalpha7, Inx2, RyR, KaiR1D, Irk1, OtopLc, sand, Hk, CG15270, Inx3, CG1504, stj	14	MF
GO:0022803	passive transmembrane transporter activity	14/181	81/5209	5.372133566525e-07	7.4135443218045e-05	6.05071885913869e-05	AQP, Lcch3, nAChRalpha7, Inx2, RyR, KaiR1D, Irk1, OtopLc, sand, Hk, CG15270, Inx3, CG1504, stj	14	MF
GO:0005214	structural constituent of chitin-based cuticle	9/181	38/5209	4.13018531293019e-06	0.000284982786592183	0.000232594646570279	Cpr73D, Cpr47Ee, dsx-c73A, Cpr50Cb, Cpr49Aa, Cpr65Eb, Cpr67Fb, m, Cpr67B	9	MF
GO:0042302	structural constituent of cuticle	9/181	38/5209	4.13018531293019e-06	0.000284982786592183	0.000232594646570279	Cpr73D, Cpr47Ee, dsx-c73A, Cpr50Cb, Cpr49Aa, Cpr65Eb, Cpr67Fb, m, Cpr67B	9	MF
GO:0022836	gated channel activity	9/181	41/5209	8.11079142163983e-06	0.000373096405395432	0.000304510414777355	Lcch3, nAChRalpha7, RyR, KaiR1D, Irk1, Hk, CG15270, CG1504, stj	9	MF
GO:0022839	monoatomic ion gated channel activity	9/181	41/5209	8.11079142163983e-06	0.000373096405395432	0.000304510414777355	Lcch3, nAChRalpha7, RyR, KaiR1D, Irk1, Hk, CG15270, CG1504, stj	9	MF
GO:0005509	calcium ion binding	16/181	135/5209	1.43485124476805e-05	0.000565741347937118	0.000461741603579494	CG44422, Calx, GXIVsPLA2, LpR2, CadN, CG5890, dpy, Mctp, frac, TpnC41C, CG33978, stan, Tbc1d8-9, Nrg, Fkbp14, Ser	16	MF
GO:0005216	monoatomic ion channel activity	11/181	74/5209	4.07504524040235e-05	0.00140589060793881	0.00114744694927119	Lcch3, nAChRalpha7, RyR, KaiR1D, Irk1, OtopLc, sand, Hk, CG15270, CG1504, stj	11	MF
GO:0008010	structural constituent of chitin-based larval cuticle	7/181	30/5209	5.62773020010448e-05	0.00172583726136537	0.00140857808517235	Cpr73D, Cpr47Ee, Cpr50Cb, Cpr49Aa, Cpr65Eb, Cpr67Fb, Cpr67B	7	MF
GO:0005261	monoatomic cation channel activity	9/181	57/5209	0.000128847809006435	0.00355619952857762	0.00290246643446076	nAChRalpha7, RyR, KaiR1D, Irk1, OtopLc, sand, Hk, CG1504, stj	9	MF
GO:1901702	salt transmembrane transporter activity	12/181	104/5209	0.000227335219278813	0.00570404732008659	0.00465547721776709	Lcch3, RyR, Calx, KaiR1D, Irk1, sand, Hk, ChT, Nha1, CG15270, CG1504, stj	12	MF
GO:0022843	voltage-gated monoatomic cation channel activity	4/181	10/5209	0.000251327818784032	0.00578053983203274	0.00471790817717394	Irk1, Hk, CG1504, stj	4	MF
GO:0005267	potassium channel activity	5/181	18/5209	0.000284058468468487	0.00603077979210019	0.00492214674107338	KaiR1D, Irk1, sand, Hk, CG1504	5	MF
GO:0099106	ion channel regulator activity	4/181	11/5209	0.00038426556034049	0.00757552104671251	0.00618291954232066	Hk, CG4928, Rgk3, CG1504	4	MF
GO:0016247	channel regulator activity	4/181	12/5209	0.000560830691253935	0.0103192847190724	0.00842229950374331	Hk, CG4928, Rgk3, CG1504	4	MF
GO:0015075	monoatomic ion transmembrane transporter activity	14/181	149/5209	0.000601947201503942	0.010383589225943	0.00847478296854234	Lcch3, nAChRalpha7, RyR, Calx, KaiR1D, Irk1, OtopLc, sand, Hk, ChT, Nha1, CG15270, CG1504, stj	14	MF
GO:0046873	metal ion transmembrane transporter activity	10/181	85/5209	0.000651672881689335	0.010580100902721	0.00863517007315899	RyR, Calx, KaiR1D, Irk1, sand, Hk, ChT, Nha1, CG1504, stj	10	MF
GO:0005215	transporter activity	23/181	325/5209	0.000772516598621086	0.0111406964558264	0.00909271182893532	AQP, Lcch3, nAChRalpha7, Inx2, RyR, mnd, Calx, KaiR1D, Irk1, MFS10, OtopLc, sand, Npc2a, Hk, CG4995, ChT, Nha1, CG15270, Inx3, CG1504, CG1513, Ugalt, stj	23	MF
GO:0008146	sulfotransferase activity	4/181	13/5209	0.000788232899498561	0.0111406964558264	0.00909271182893532	CG14024, CG31743, CG13937, St2	4	MF
GO:0008061	chitin binding	7/181	45/5209	0.000807296844625098	0.0111406964558264	0.00909271182893532	obst-J, CG12009, CG43896, CG14607, CG8192, Cht5, Mur89F	7	MF
