ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0048598	embryonic morphogenesis	23/224	175/5525	4.40763052161265e-07	0.000783235943690569	0.000692693933554494	sage, kay, Mcr, dpp, peb, jeb, spo, Traf6, Pld, aop, jar, btsz, InR, EcR, Col4a1, crb, Inx2, ea, ct, Dronc, trbl, S, mthl1	23	BP
GO:0009888	tissue development	41/224	480/5525	2.51010076894971e-06	0.00223022453321182	0.00197241076212732	ptc, Mhc, CASK, ex, sage, kay, Mcr, phm, dpp, peb, jeb, CG17211, spo, Fhos, Mlc1, sano, jbug, Ptpmeg, Traf6, Prm, aop, jar, btsz, InR, bbg, cindr, stl, d, Hr39, EcR, ds, Col4a1, crb, Eip63E, Inx2, insc, stan, ct, S, mthl1, Myo61F	41	BP
GO:0090130	tissue migration	18/224	148/5525	2.49223750447011e-05	0.0147623534848113	0.0130558266462241	ptc, Mhc, CASK, ex, kay, phm, dpp, peb, jeb, Ptpmeg, aop, jar, InR, bbg, cindr, EcR, Pu, mthl1	18	BP
GO:0001667	ameboidal-type cell migration	18/224	152/5525	3.58830708639449e-05	0.0157662871298977	0.0139437056451958	ptc, Mhc, CASK, ex, kay, phm, dpp, peb, jeb, Ptpmeg, aop, jar, InR, bbg, cindr, EcR, Pu, mthl1	18	BP
GO:0048729	tissue morphogenesis	26/224	277/5525	4.43620909676356e-05	0.0157662871298977	0.0139437056451958	sage, kay, Mcr, dpp, peb, jeb, CG17211, spo, Fhos, sano, jbug, Traf6, aop, jar, btsz, d, EcR, ds, Col4a1, crb, Eip63E, Inx2, stan, ct, S, mthl1	26	BP
GO:0006936	muscle contraction	6/224	19/5525	7.22891858697938e-05	0.0161468775002332	0.0142802998002832	Mhc, Mlc1, Ca-alpha1D, Pkd2, CG4928, tn	6	BP
GO:0003012	muscle system process	7/224	27/5525	7.2692751829975e-05	0.0161468775002332	0.0142802998002832	Mhc, Fhos, Mlc1, Ca-alpha1D, Pkd2, CG4928, tn	7	BP
GO:0042749	regulation of circadian sleep/wake cycle	7/224	27/5525	7.2692751829975e-05	0.0161468775002332	0.0142802998002832	wake, InR, EcR, CrebB, Hsp83, S, cyc	7	BP
GO:0060429	epithelium development	34/224	427/5525	8.8076662758893e-05	0.0173902477469503	0.0153799365495938	ptc, Mhc, CASK, ex, kay, Mcr, phm, dpp, peb, CG17211, spo, Fhos, sano, jbug, Ptpmeg, Traf6, aop, jar, btsz, InR, bbg, cindr, stl, d, EcR, ds, Col4a1, crb, Eip63E, Inx2, insc, stan, ct, S	34	BP
GO:0090066	regulation of anatomical structure size	20/224	195/5525	0.000105374957756706	0.0181793966508788	0.0160778599056731	nw, Mcr, dpp, conu, Pal1, obst-A, Best1, sano, Cad96Ca, Ncc69, btsz, InR, dpy, sals, EcR, ds, stan, Nrg, Nup98-96, trbl	20	BP
GO:0001700	embryonic development via the syncytial blastoderm	15/224	123/5525	0.000116548476433423	0.0181793966508788	0.0160778599056731	kay, Mcr, phm, dpp, peb, spo, Traf6, aop, jar, InR, EcR, Col4a1, crb, Eip63E, Dronc	15	BP
GO:0030334	regulation of cell migration	11/224	72/5525	0.000129365617290149	0.0181793966508788	0.0160778599056731	ptc, PlexB, kay, peb, Lrt, Fhos, Ptpmeg, aop, InR, stl, Pu	11	BP
GO:0040012	regulation of locomotion	13/224	98/5525	0.000141896487407248	0.0181793966508788	0.0160778599056731	ptc, PlexB, CASK, kay, peb, Lrt, Fhos, Ptpmeg, aop, InR, stl, Pu, stan	13	BP
GO:2000145	regulation of cell motility	11/224	73/5525	0.000146969515438715	0.0181793966508788	0.0160778599056731	ptc, PlexB, kay, peb, Lrt, Fhos, Ptpmeg, aop, InR, stl, Pu	11	BP
GO:0009792	embryo development ending in birth or egg hatching	15/224	126/5525	0.000153455796152606	0.0181793966508788	0.0160778599056731	kay, Mcr, phm, dpp, peb, spo, Traf6, aop, jar, InR, EcR, Col4a1, crb, Eip63E, Dronc	15	BP
GO:0010631	epithelial cell migration	16/224	141/5525	0.000163882698817446	0.0182012222374126	0.0160971624562136	ptc, Mhc, CASK, ex, kay, phm, dpp, peb, Ptpmeg, aop, jar, InR, bbg, cindr, EcR, Pu	16	BP
GO:0090132	epithelium migration	16/224	142/5525	0.000178129892462741	0.0184982180053378	0.0163598255379968	ptc, Mhc, CASK, ex, kay, phm, dpp, peb, Ptpmeg, aop, jar, InR, bbg, cindr, EcR, Pu	16	BP
GO:0042745	circadian sleep/wake cycle	7/224	31/5525	0.000187376434494136	0.0184982180053378	0.0163598255379968	wake, InR, EcR, CrebB, Hsp83, S, cyc	7	BP
GO:0045187	regulation of circadian sleep/wake cycle, sleep	6/224	23/5525	0.000234632560398023	0.0219443189382782	0.019407557488878	wake, InR, EcR, CrebB, Hsp83, cyc	6	BP
GO:0002165	instar larval or pupal development	32/224	415/5525	0.000263795675244457	0.0229715699594748	0.0203160583772152	nw, ptc, kay, Spn88Ea, B-H2, phm, dpp, RhoGAP5A, Eip74EF, Pal1, spo, Fhos, obst-A, Chd1, jar, btsz, bbg, dpy, d, Duox, CrebA, EcR, ds, Eip63E, Pu, stan, Nrg, ct, Dronc, S, mthl1, Myo61F	32	BP
GO:0040011	locomotion	26/224	309/5525	0.000271470438463123	0.0229715699594748	0.0203160583772152	ptc, Mhc, Tl, PlexB, CASK, kay, dpp, pdm3, peb, jeb, Lrt, Ephrin, Fhos, Ca-alpha1D, jbug, Ptpmeg, aop, CG6867, InR, stl, FoxP, Pu, stan, Neto, Nrg, ct	26	BP
GO:0048870	cell motility	23/224	259/5525	0.000286902451422248	0.0229821431018157	0.0203254092651784	ptc, Mhc, PlexB, CASK, ex, kay, phm, dpp, peb, jeb, Lrt, Fhos, Pkd2, Ptpmeg, aop, jar, InR, bbg, cindr, stl, EcR, Pu, mthl1	23	BP
