ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0005576	extracellular region	39/221	275/5406	2.77452493763465e-12	5.79875711965643e-10	5.46143329829137e-10	nw, CG11836, Cht10, CG8560, Fs, Tep2, Muc11A, Hml, Spn38F, Spn88Ea, Tep4, Mcr, Cp1, dpp, CG12009, jeb, CG17211, Pal1, obst-A, CREG, CG40160, CG3604, fat-spondin, Nagk, sdk, NLaz, CG43896, CG6867, PPO3, CG18735, ndl, Plod, Col4a1, Wnt2, Spn55B, Mur89F, Cpr67Fb, ea, CG10407	39	CC
GO:0005615	extracellular space	26/221	175/5406	6.38503825979611e-09	6.67236498148694e-07	6.28422186622038e-07	nw, CG11836, CG8560, Tep2, Hml, Spn38F, Spn88Ea, Tep4, Mcr, Cp1, dpp, jeb, CREG, CG40160, CG3604, Nagk, NLaz, CG6867, CG18735, Plod, Col4a1, Wnt2, Spn55B, Cpr67Fb, ea, CG10407	26	CC
GO:0045177	apical part of cell	18/221	140/5406	1.27839308068965e-05	0.000890613846213789	0.000838805284522682	ex, Mcr, conu, Ca-alpha1D, sano, a, Cad96Ca, sdk, Fbxl7, btsz, bbg, cindr, crb, Inx2, insc, stan, Zip89B, CG6398	18	CC
GO:0016327	apicolateral plasma membrane	6/221	17/5406	3.69639132040168e-05	0.00193136446490988	0.00181901362346083	ex, Mcr, d, ds, crb, Inx2	6	CC
GO:0016459	myosin complex	6/221	18/5406	5.3566208629513e-05	0.00223906752071364	0.00210881705551977	Mhc, Mlc1, Prm, jar, d, Myo61F	6	CC
GO:0043235	receptor complex	7/221	33/5406	0.000298478893106241	0.0103970147765341	0.00979220228260827	PlexB, Cad96Ca, Traf6, InR, Ddr, Neto, cyc	7	CC
GO:0005911	cell-cell junction	12/221	100/5406	0.00070193512577394	0.0209577773266791	0.0197386268450717	Efa6, CASK, ex, Mcr, a, Fbxl7, bbg, crb, Inx2, stan, Nrg, CG6398	12	CC
GO:0098590	plasma membrane region	18/221	194/5406	0.00087600015117153	0.0212966549409624	0.0200577913571391	ptc, Tl, ex, Tob, Mcr, Arl4, Ca-alpha1D, a, btsz, cindr, d, Ank2, ds, crb, Inx2, stan, Zip89B, Hil	18	CC
GO:0031012	extracellular matrix	12/221	103/5406	0.000917080834778285	0.0212966549409624	0.0200577913571391	Muc11A, Hml, Cpr50Cb, CG17211, obst-A, fat-spondin, dpy, stl, Col4a1, Mur89F, Cpr67Fb, CG1136	12	CC
GO:0030312	external encapsulating structure	12/221	106/5406	0.00118465229259298	0.0247592329151933	0.0233189451278829	Muc11A, Hml, Cpr50Cb, CG17211, obst-A, fat-spondin, dpy, stl, Col4a1, Mur89F, Cpr67Fb, CG1136	12	CC
GO:0070161	anchoring junction	13/221	125/5406	0.00164727326416322	0.0312981920191011	0.0294775215692365	Efa6, CASK, ex, Mcr, Lrt, a, Fbxl7, bbg, crb, Inx2, stan, Nrg, CG6398	13	CC
GO:0016324	apical plasma membrane	9/221	69/5406	0.00180896769993981	0.0315061874406183	0.0296734175341003	ex, Mcr, Ca-alpha1D, a, btsz, crb, Inx2, stan, Zip89B	9	CC
