ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0061134	peptidase regulator activity	9/220	32/5209	4.35779039850411e-06	0.000761647921068777	0.000642399375565231	Tep2, Spn38F, Spn88Ea, Tep4, Mcr, Cp1, CG3604, fat-spondin, Spn55B	9	MF
GO:0004866	endopeptidase inhibitor activity	8/220	26/5209	7.20802448960988e-06	0.000761647921068777	0.000642399375565231	Tep2, Spn38F, Spn88Ea, Tep4, Mcr, CG3604, fat-spondin, Spn55B	8	MF
GO:0030414	peptidase inhibitor activity	8/220	26/5209	7.20802448960988e-06	0.000761647921068777	0.000642399375565231	Tep2, Spn38F, Spn88Ea, Tep4, Mcr, CG3604, fat-spondin, Spn55B	8	MF
GO:0061135	endopeptidase regulator activity	8/220	27/5209	9.87403177155899e-06	0.00078251701789605	0.000660001071046312	Tep2, Spn38F, Spn88Ea, Tep4, Mcr, CG3604, fat-spondin, Spn55B	8	MF
GO:0004857	enzyme inhibitor activity	9/220	48/5209	0.000144343982120149	0.00878506423417598	0.00740961751778416	Tep2, Spn38F, Spn88Ea, Tep4, Mcr, CG3604, fat-spondin, Spn55B, trbl	9	MF
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	20/220	198/5209	0.000222990847221514	0.00878506423417598	0.00740961751778416	REPTOR, sage, kay, B-H2, pdm3, RAF2, peb, Eip74EF, Ets21C, aop, FoxP, Hr39, CrebA, EcR, CrebB, p53, ct, bbx, Rfx, cyc	20	MF
GO:0003700	DNA-binding transcription factor activity	22/220	229/5209	0.000223523444818909	0.00878506423417598	0.00740961751778416	eg, REPTOR, sage, kay, B-H2, pdm3, RAF2, peb, Eip74EF, Ets21C, CG3328, aop, FoxP, Hr39, CrebA, EcR, CrebB, p53, ct, bbx, Rfx, cyc	22	MF
GO:0008194	UDP-glycosyltransferase activity	9/220	51/5209	0.000234469926931794	0.00878506423417598	0.00740961751778416	GlcAT-P, CG9395, CG11357, Pgant9, Plod, Mgat2, Ugt50B3, shams, Mgat1	9	MF
GO:0038023	signaling receptor activity	14/220	114/5209	0.000277131363854132	0.00878506423417598	0.00740961751778416	ptc, Tl, PlexB, Cirl, Cad96Ca, sdk, mthl15, GluClalpha, InR, Hr39, Ddr, EcR, stan, mthl1	14	MF
GO:0060089	molecular transducer activity	14/220	114/5209	0.000277131363854132	0.00878506423417598	0.00740961751778416	ptc, Tl, PlexB, Cirl, Cad96Ca, sdk, mthl15, GluClalpha, InR, Hr39, Ddr, EcR, stan, mthl1	14	MF
