ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0098609	cell-cell adhesion	28/671	86/5494	5.07977037654602e-07	0.00115006001325002	0.000993496143118159	sli, Burs, mys, Lac, CG10939, rk, Cad74A, Cad99C, Cont, ed, Cad88C, Cals, Fas3, baz, p130CAS, scrib, Nrg, fw, fra, hh, brn, ft, Dscam4, sns, mbt, aop, Ten-m, POSH	28	BP
GO:0048729	tissue morphogenesis	90/671	463/5494	2.06742167991993e-06	0.00234032134166936	0.00202172077962696	Btk29A, S, crol, ck, trc, dpy, sli, chas, ksr, svr, Col4a1, mys, bdg, Inx2, al, bowl, Spn88Ea, sob, opa, tup, Cds, sty, Pvr, Lim1, Lac, cmb, mwh, dysf, RhoGEF2, Egfr, Myo31DF, yrt, par-6, dy, Abl, shn, Parp, cbt, ed, hth, S6kII, lft, loco, l(2)gl, lola, ovo, Pvf1, raw, baz, tnc, scrib, Nrg, pio, Fkbp14, Lam, tx, Hr51, gol, fw, zfh2, Pten, Gli, hh, sinu, brn, msn, ft, f, Nedd4, nst, Bap170, Mad, Cdc42, dlt, cad, form3, aop, VhaAC39-1, PDZ-GEF, Gclc, pnut, pot, byn, rn, slpr, VhaPPA1-1, sha, RhoGAP68F, ftz-f1, POSH	90	BP
GO:0002009	morphogenesis of an epithelium	87/671	453/5494	5.23683226352416e-06	0.00395206274820624	0.00341404713881681	Btk29A, S, crol, ck, trc, dpy, chas, ksr, svr, Col4a1, mys, bdg, Inx2, al, bowl, Spn88Ea, sob, opa, tup, Cds, sty, Pvr, Lim1, Lac, cmb, mwh, dysf, RhoGEF2, Egfr, Myo31DF, yrt, par-6, dy, Abl, shn, Parp, cbt, ed, hth, S6kII, lft, loco, l(2)gl, lola, ovo, Pvf1, raw, baz, tnc, scrib, Nrg, pio, Fkbp14, Lam, tx, Hr51, fw, zfh2, Pten, Gli, hh, sinu, brn, msn, ft, f, Nedd4, Bap170, Mad, Cdc42, dlt, cad, form3, aop, VhaAC39-1, PDZ-GEF, Gclc, pnut, pot, byn, rn, slpr, VhaPPA1-1, sha, RhoGAP68F, ftz-f1, POSH	87	BP
GO:0048598	embryonic morphogenesis	42/671	174/5494	7.29593548384162e-06	0.00412949948385436	0.00356732845499414	Btk29A, S, sli, Col4a1, mys, Inx2, bowl, sob, tup, Pvr, Lac, RhoGEF2, Egfr, yrt, par-6, Abl, shn, Drp1, cbt, ed, l(2)gl, ea, Pvf1, raw, baz, tnc, scrib, InR, eve, gol, sinu, msn, nst, Mad, Cdc42, cad, aop, PDZ-GEF, byn, slpr, RhoGAP68F, POSH	42	BP
GO:0006811	ion transport	52/671	236/5494	1.04967306615309e-05	0.00462254059145905	0.00399324921839823	Ncc69, MRP, Mco1, chk, Ae2, bdg, CG10444, CG6723, Vmat, Best1, SERCA, GIIIspla2, mnd, galene, Trpm, Nhe3, crok, Cnx99A, Vha16-1, nAChRbeta2, aralar1, Grik, CG11655, Psn, NaPi-III, NAAT1, MFS10, Oatp26F, Ndae1, Vha55, dysc, CG10413, sea, Letm1, pain, Nedd4, nrv3, SPoCk, VhaSFD, pyx, Tsf2, mfrn, Fer3HCH, CG6293, Vha68-2, Sln, VhaAC39-1, sand, CG10960, CG10019, VhaPPA1-1, ClC-a	52	BP
GO:0042335	cuticle development	30/671	110/5494	1.22505492706512e-05	0.00462254059145905	0.00399324921839823	resilin, ck, dpy, Burs, Edg78E, Cpr11B, Cpr67Fb, serp, Alas, Cpr50Cb, Cpr65Az, CrebA, Cpr57A, Gasp, l(2)gl, ovo, pio, Lam, Desat1, Cpr72Eb, e, Cpr47Ef, f, Cpr30B, verm, Cht7, pot, Cpr50Ca, sha, Cpr66D	30	BP
GO:0040003	chitin-based cuticle development	24/671	81/5494	2.04573395316929e-05	0.00553524689613309	0.00478170389297716	resilin, ck, dpy, Edg78E, Cpr11B, Cpr67Fb, serp, Alas, Cpr50Cb, Cpr65Az, CrebA, Cpr57A, Gasp, l(2)gl, pio, Lam, Cpr72Eb, Cpr47Ef, Cpr30B, verm, Cht7, pot, Cpr50Ca, Cpr66D	24	BP
GO:0048608	reproductive structure development	18/671	52/5494	2.20040733503524e-05	0.00553524689613309	0.00478170389297716	Btk29A, sli, Col4a1, mys, br, Pvr, Egfr, Myo31DF, lola, raw, tnc, InR, Lam, hh, nclb, aop, PDZ-GEF, slpr	18	BP
GO:0061458	reproductive system development	18/671	52/5494	2.20040733503524e-05	0.00553524689613309	0.00478170389297716	Btk29A, sli, Col4a1, mys, br, Pvr, Egfr, Myo31DF, lola, raw, tnc, InR, Lam, hh, nclb, aop, PDZ-GEF, slpr	18	BP
GO:0035239	tube morphogenesis	74/671	386/5494	3.03360012087792e-05	0.00608698040443954	0.00525832694413645	S, crol, ck, trc, Act5C, dpy, ksr, svr, Col4a1, mys, Inx2, al, bowl, Spn88Ea, sob, opa, Cds, sty, Pvr, Lim1, cmb, mwh, dysf, RhoGEF2, Egfr, Myo31DF, Cad99C, par-6, dy, shn, cbt, ed, hth, S6kII, lft, ovo, Pvf1, raw, baz, tnc, scrib, Nrg, pio, Fkbp14, Lam, tx, Hr51, fw, zfh2, Gli, hh, msn, ft, f, Nedd4, Bap170, Mad, Cdc42, dlt, cad, form3, Vha68-2, VhaAC39-1, PDZ-GEF, Gclc, pnut, pot, byn, rn, slpr, VhaPPA1-1, sha, RhoGAP68F, ftz-f1	74	BP
GO:0050954	sensory perception of mechanical stimulus	16/671	44/5494	3.1290385013486e-05	0.00608698040443954	0.00525832694413645	ck, rdgA, Cad99C, Ank2, Fitm, CAP, CG5921, CG8086, Ubr3, dysc, Klp64D, pain, f, hmw, nrv3, Cdc42	16	BP
GO:0007155	cell adhesion	36/671	149/5494	3.22631470199976e-05	0.00608698040443954	0.00525832694413645	crol, sli, dyl, Burs, mys, Lac, CG10939, rk, Cad74A, Cad99C, Cont, ed, Cad88C, Cals, Flo2, Fas3, baz, p130CAS, scrib, Nrg, tx, sas, fw, fra, Pten, Gli, hh, sinu, brn, ft, Dscam4, sns, mbt, aop, Ten-m, POSH	36	BP
GO:0016331	morphogenesis of embryonic epithelium	26/671	94/5494	3.5606904813914e-05	0.00620107942297702	0.00535689304811759	Btk29A, Col4a1, mys, Inx2, tup, Pvr, Lac, RhoGEF2, Egfr, yrt, par-6, Abl, shn, cbt, ed, l(2)gl, Pvf1, raw, scrib, sinu, msn, Cdc42, aop, PDZ-GEF, slpr, POSH	26	BP
GO:0007605	sensory perception of sound	14/671	36/5494	4.11944911642575e-05	0.00659970725441675	0.00570125352366855	ck, rdgA, Cad99C, Ank2, Fitm, CAP, CG5921, CG8086, Ubr3, dysc, Klp64D, f, hmw, nrv3	14	BP
GO:0060562	epithelial tube morphogenesis	69/671	357/5494	4.37259756255527e-05	0.00659970725441675	0.00570125352366855	S, crol, ck, trc, dpy, ksr, svr, mys, al, bowl, Spn88Ea, sob, opa, Cds, sty, Pvr, Lim1, cmb, mwh, dysf, RhoGEF2, Egfr, Myo31DF, par-6, dy, shn, cbt, ed, hth, S6kII, lft, ovo, Pvf1, raw, baz, tnc, scrib, Nrg, pio, Fkbp14, Lam, tx, Hr51, fw, zfh2, Gli, hh, msn, ft, f, Nedd4, Bap170, Mad, Cdc42, dlt, cad, form3, VhaAC39-1, PDZ-GEF, Gclc, pnut, pot, byn, rn, slpr, VhaPPA1-1, sha, RhoGAP68F, ftz-f1	69	BP
GO:0060541	respiratory system development	44/671	200/5494	5.29543398863279e-05	0.0074930390939154	0.0064729712834735	Btk29A, wus, knrl, dpy, sli, ksr, mys, mbf1, serp, Cds, sty, Lac, exp, dysf, RhoGEF2, crok, Egfr, par-6, ed, Cad88C, Gasp, Stam, baz, bou, Nrg, pio, InR, Lam, vari, Pten, Gli, hh, sinu, ft, nst, Cdc42, verm, DAAM, form3, Vha68-2, aop, VhaAC39-1, conv, VhaPPA1-1	44	BP
GO:0043297	apical junction assembly	14/671	37/5494	5.8933989734361e-05	0.00784862075050549	0.0067801456920398	Lac, crok, par-6, Cont, loco, l(2)gl, baz, bou, scrib, Nrg, vari, Gli, sinu, Tsf2	14	BP
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	12/671	29/5494	7.17348149515776e-05	0.00854776952896693	0.00738411557784106	Lac, Cad74A, Cad99C, Cont, ed, Cad88C, Cals, Fas3, fw, ft, Dscam4, sns	12	BP
GO:0019991	septate junction assembly	12/671	29/5494	7.17348149515776e-05	0.00854776952896693	0.00738411557784106	Lac, crok, Cont, loco, l(2)gl, bou, scrib, Nrg, vari, Gli, sinu, Tsf2	12	BP
GO:0055085	transmembrane transport	56/671	279/5494	8.2255444033751e-05	0.00897722231867837	0.007755104643902	Ctl1, Ncc69, MRP, chk, Ae2, CG17036, bdg, CG10444, CG6723, Orct, Vmat, SERCA, CG15890, mnd, galene, Trpm, Nhe3, Pmp70, crok, CG11779, Vha16-1, nAChRbeta2, nac, aralar1, Glut1, NaPi-III, CNT2, NAAT1, MFS10, Oatp26F, Ndae1, Vha55, dysc, CG10413, sea, rtet, Letm1, Cln7, pain, Nedd4, nrv3, SPoCk, VhaSFD, pyx, mfrn, CG11537, Tret1-2, CG6293, Vha68-2, Sln, VhaAC39-1, sand, CG10960, CG10019, VhaPPA1-1, ClC-a	56	BP
GO:0050830	defense response to Gram-positive bacterium	7/671	11/5494	8.3269288291628e-05	0.00897722231867837	0.007755104643902	PPO2, grass, SPE, GNBP1, spz, PPO1, Tep3	7	BP
GO:0030030	cell projection organization	85/671	474/5494	9.79692040362015e-05	0.00928063586422951	0.00801721286764852	Sox14, ck, grn, trc, sli, dnc, mys, br, trol, HDAC1, Sema1a, Eph, Acsl, tup, Pvr, cmb, mwh, RhoGEF2, Egfr, Mp, Cad99C, par-6, spas, Abl, IFT57, shn, Cont, Poxm, spz, Ank2, lola, Flo2, ovo, Khc, Fitm, Fas3, Pvf1, C1GalTA, baz, CG13855, p130CAS, raptor, scrib, Nrg, InR, CG12964, fru, Hr51, CG14105, sky, eve, Rsph3, sas, fw, fra, dysc, Pten, SH3PX1, kuz, Klp64D, Gli, hh, msn, eIF2beta, ft, Dscam4, f, Nedd4, vvl, IFT52, hmw, ttv, wnd, Cdc42, DAAM, PDZ-GEF, Gclc, pnut, Ten-m, IFT20, Rel, conv, haf, sha, ftz-f1	85	BP
GO:0007424	open tracheal system development	42/671	193/5494	0.000101809581021575	0.00928063586422951	0.00801721286764852	Btk29A, wus, knrl, dpy, sli, ksr, mys, mbf1, serp, Cds, sty, Lac, dysf, RhoGEF2, crok, Egfr, par-6, ed, Cad88C, Gasp, Stam, baz, bou, Nrg, pio, InR, Lam, vari, Pten, Gli, hh, sinu, ft, Cdc42, verm, DAAM, form3, Vha68-2, aop, VhaAC39-1, conv, VhaPPA1-1	42	BP
GO:0048737	imaginal disc-derived appendage development	52/671	256/5494	0.000107603917323781	0.00928063586422951	0.00801721286764852	S, crol, ck, trc, dpy, ksr, svr, mys, al, bowl, Spn88Ea, sob, sty, Lim1, cmb, mwh, dysf, RhoGEF2, Egfr, dy, shn, ed, hth, S6kII, lft, ovo, tnc, eyg, scrib, pio, Fkbp14, tx, Hr51, fw, zfh2, Gli, hh, ft, f, Nedd4, Bap170, wds, Mad, Cdc42, PDZ-GEF, Gclc, pnut, pot, rn, sha, RhoGAP68F, ftz-f1	52	BP
GO:0003008	system process	56/671	282/5494	0.000111536533591603	0.00928063586422951	0.00801721286764852	Btk29A, ck, rdgB, MRP, svr, Col4a1, Ms, dnc, mys, Unc-89, SERCA, Mlc2, CG10939, up, rdgA, Egfr, Mp, Cad99C, Abl, fln, S6kII, Ank2, nAChRbeta2, loco, meng, Psn, Ptr, Fitm, b6, CAP, Klp68D, CG5921, aru, scrib, dpr8, CG8086, CG3740, Ubr3, ITP, TkR99D, dysc, pnr, Klp64D, sinu, pain, f, hmw, Uba5, sns, nrv3, wnd, Cdc42, wupA, Tpi, Nox, ClC-a	56	BP
GO:0055067	monovalent inorganic cation homeostasis	10/671	22/5494	0.00011264866971692	0.00928063586422951	0.00801721286764852	Ncc69, Ae2, Nhe3, Vha16-1, Ndae1, Vha55, CG10413, nrv3, Vha68-2, VhaAC39-1	10	BP
GO:0007548	sex differentiation	18/671	58/5494	0.000113895039619433	0.00928063586422951	0.00801721286764852	Btk29A, sli, mys, br, Pvr, Egfr, Myo31DF, lola, raw, tnc, InR, Lam, fru, hh, nclb, aop, PDZ-GEF, slpr	18	BP
GO:0035114	imaginal disc-derived appendage morphogenesis	51/671	251/5494	0.000124379418105012	0.00928063586422951	0.00801721286764852	S, crol, ck, trc, dpy, ksr, svr, mys, al, bowl, Spn88Ea, sob, sty, Lim1, cmb, mwh, dysf, RhoGEF2, Egfr, dy, shn, ed, hth, S6kII, lft, ovo, tnc, eyg, scrib, pio, Fkbp14, tx, Hr51, fw, zfh2, Gli, hh, ft, f, Nedd4, Bap170, Mad, Cdc42, PDZ-GEF, Gclc, pnut, pot, rn, sha, RhoGAP68F, ftz-f1	51	BP
GO:0007444	imaginal disc development	77/671	423/5494	0.000129750474438103	0.00928063586422951	0.00801721286764852	Btk29A, S, crol, ck, trc, dpy, ksr, svr, mys, vito, al, bowl, Spn88Ea, pb, sob, opa, tup, sty, Pvr, Lim1, cmb, mwh, dysf, RhoGEF2, Egfr, Myo31DF, dy, shn, cbt, ed, hth, CtBP, S6kII, lft, l(2)gl, ovo, Psn, tnc, eyg, scrib, Nrg, pio, Fkbp14, InR, Sin3A, Desat1, tx, Hr51, ex, fw, zfh2, Pten, Amun, Gli, hh, msn, ft, Sb, f, Nedd4, Skp2, Bap170, wds, Mad, Cdc42, dlt, cad, Vha68-2, PDZ-GEF, Gclc, pnut, pot, rn, slpr, sha, RhoGAP68F, ftz-f1	77	BP
GO:0048736	appendage development	52/671	258/5494	0.000132699446740183	0.00928063586422951	0.00801721286764852	S, crol, ck, trc, dpy, ksr, svr, mys, al, bowl, Spn88Ea, sob, sty, Lim1, cmb, mwh, dysf, RhoGEF2, Egfr, dy, shn, ed, hth, S6kII, lft, ovo, tnc, eyg, scrib, pio, Fkbp14, tx, Hr51, fw, zfh2, Gli, hh, ft, f, Nedd4, Bap170, wds, Mad, Cdc42, PDZ-GEF, Gclc, pnut, pot, rn, sha, RhoGAP68F, ftz-f1	52	BP
GO:0007507	heart development	21/671	74/5494	0.000133374392636571	0.00928063586422951	0.00801721286764852	sli, Col4a1, Cat, mys, tup, Lac, Cont, Nrg, eve, kuz, pnr, Gli, hh, sinu, Nedd4, numb, wds, Mad, wupA, byn, qm	21	BP
GO:0072359	circulatory system development	21/671	74/5494	0.000133374392636571	0.00928063586422951	0.00801721286764852	sli, Col4a1, Cat, mys, tup, Lac, Cont, Nrg, eve, kuz, pnr, Gli, hh, sinu, Nedd4, numb, wds, Mad, wupA, byn, qm	21	BP
GO:0035107	appendage morphogenesis	51/671	252/5494	0.000138200092190381	0.00928063586422951	0.00801721286764852	S, crol, ck, trc, dpy, ksr, svr, mys, al, bowl, Spn88Ea, sob, sty, Lim1, cmb, mwh, dysf, RhoGEF2, Egfr, dy, shn, ed, hth, S6kII, lft, ovo, tnc, eyg, scrib, pio, Fkbp14, tx, Hr51, fw, zfh2, Gli, hh, ft, f, Nedd4, Bap170, Mad, Cdc42, PDZ-GEF, Gclc, pnut, pot, rn, sha, RhoGAP68F, ftz-f1	51	BP
GO:0007043	cell-cell junction assembly	16/671	49/5494	0.000139373506794966	0.00928063586422951	0.00801721286764852	Lac, crok, par-6, Cont, loco, l(2)gl, baz, bou, scrib, Nrg, vari, Gli, sinu, sns, Tsf2, PDZ-GEF	16	BP
GO:0003007	heart morphogenesis	12/671	31/5494	0.00015464001026005	0.00991299368561286	0.00856348440946099	sli, Cat, Lac, Cont, Nrg, eve, kuz, Gli, hh, sinu, Nedd4, byn	12	BP
GO:0048569	post-embryonic animal organ development	67/671	358/5494	0.000157627108075116	0.00991299368561286	0.00856348440946099	S, crol, ck, trc, dpy, ksr, svr, mys, al, bowl, Spn88Ea, sob, opa, sty, Pvr, Lim1, cmb, mwh, dysf, RhoGEF2, Egfr, Myo31DF, dy, shn, Poxm, spz, cbt, ed, hth, S6kII, lft, lola, ovo, Khc, tnc, scrib, Nrg, pio, Fkbp14, Sin3A, tx, Hr51, fw, zfh2, Pten, Rrp40, Gli, hh, msn, ft, f, Nedd4, Bap170, sns, Mad, Cdc42, dlt, PDZ-GEF, Gclc, pnut, pot, rn, slpr, sha, RhoGAP68F, ftz-f1, Msp300	67	BP
GO:0035120	post-embryonic appendage morphogenesis	50/671	248/5494	0.000177308488403257	0.0108493626417561	0.00937238041118783	S, crol, ck, trc, dpy, ksr, svr, mys, al, bowl, Spn88Ea, sob, sty, Lim1, cmb, mwh, dysf, RhoGEF2, Egfr, dy, shn, ed, hth, S6kII, lft, ovo, tnc, scrib, pio, Fkbp14, tx, Hr51, fw, zfh2, Gli, hh, ft, f, Nedd4, Bap170, Mad, Cdc42, PDZ-GEF, Gclc, pnut, pot, rn, sha, RhoGAP68F, ftz-f1	50	BP
GO:0042592	homeostatic process	59/671	307/5494	0.000188485031242555	0.0112297397561354	0.00970097473819021	Ncc69, Burs, Mco1, Col4a1, Cat, AGBE, Pepck1, Ae2, Pgd, mys, Vdup1, Best1, tup, SERCA, Pvr, Lac, Trpm, Nhe3, CG10939, rk, GLaz, up, rdgA, Egfr, yrt, ninaC, Cnx99A, Vha16-1, CG6908, Ttd14, Ank2, Aps, Fitm, PHGPx, Glut1, Fkbp14, InR, Ndae1, Desat1, Vha55, ITP, ex, dysc, Pten, CG10413, Sik3, Letm1, nrv3, SPoCk, mfrn, Fer3HCH, NLaz, Vha68-2, wupA, VhaAC39-1, Tpi, ftz-f1, ClC-a, IP3K2	59	BP
