ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0005576	extracellular region	84/654	293/5397	2.89566467277797e-15	9.93212982762843e-13	9.32708831442167e-13	resilin, CG14304, Btk29A, CG11570, CG32052, ck, sli, Burs, Hml, svr, Col4a1, Ms, PPO2, Pxt, Wnt6, Cpr67Fb, Tep2, grass, Spn88Ea, SPE, Sema1a, CG14607, CG5966, GNBP1, Spn38F, serp, Cht6, Cda5, GLaz, CG41520, Ance, CG12009, spz, Cals, CG31077, Gasp, CG8483, obst-B, ckd, PPO1, IM33, CG13643, ea, Pvf1, Cda4, CG31997, tnc, CG5639, bou, Hexo2, Fkbp14, CG6472, CG31145, eys, SiaT, CG6426, ITP, Cht8, CG5390, fra, Tep3, kuz, CG3097, Cp1, hh, CG11836, Trissin, spz3, Mur89F, Tg, Tsf2, CG15202, NLaz, verm, CG10433, GCS2alpha, CG8642, pnut, l(2)34Fc, Cht7, PPO3, CG8560, CG13676, CG5756	84	CC
GO:0005615	extracellular space	49/654	178/5397	1.14581997912093e-08	1.9650812641924e-06	1.84537322953161e-06	CG32052, Burs, Hml, svr, Col4a1, Ms, PPO2, Pxt, Wnt6, Cpr67Fb, Tep2, Spn88Ea, Sema1a, CG5966, GNBP1, Spn38F, serp, GLaz, CG41520, Ance, spz, CG8483, IM33, ea, Pvf1, CG31997, tnc, CG5639, Hexo2, Fkbp14, CG6472, eys, CG6426, ITP, CG5390, Tep3, CG3097, Cp1, hh, CG11836, Trissin, spz3, Tg, Tsf2, CG15202, NLaz, CG10433, CG8642, CG8560	49	CC
GO:0031226	intrinsic component of plasma membrane	50/654	193/5397	7.02099336463164e-08	8.0273357468955e-06	7.53832971781502e-06	rdgB, SMSr, MRP, Mco1, mys, bdg, ETHR, Eph, GNBP1, Best1, galene, Pvr, Trpm, rk, DIP-zeta, Cad74A, mthl15, Egfr, Cad99C, ed, Cad88C, Cals, nAChRbeta2, Psn, Fas3, NaPi-III, CNT2, bou, NAAT1, Nrg, InR, dpr8, Oatp26F, CG12964, Ndae1, TkR99D, sas, Gli, ft, Cln7, Dscam4, sns, nrv3, Tsf2, Sln, sand, CG10960, Ten-m, emp, ClC-a	50	CC
GO:0030312	external encapsulating structure	32/654	105/5397	3.56318867297694e-07	3.05543428707772e-05	2.86930456297616e-05	resilin, ck, dpy, Hml, Col4a1, Edg78E, Cpr11B, Cpr67Fb, trol, serp, Cpr50Cb, Sgs4, Cpr65Az, CG41520, CG15570, Cpr57A, Gasp, obst-B, l(2)gl, tnc, eys, Cpr72Eb, sas, Cpr47Ef, Mur89F, Cpr30B, verm, fs(1)N, CG8642, Ten-m, Cpr50Ca, Cpr66D	32	CC
GO:0005887	integral component of plasma membrane	45/654	180/5397	9.68899940119565e-07	6.64665358922021e-05	6.24175540371762e-05	rdgB, SMSr, MRP, mys, bdg, ETHR, Eph, Best1, galene, Pvr, Trpm, rk, DIP-zeta, Cad74A, mthl15, Egfr, Cad99C, ed, Cad88C, Cals, nAChRbeta2, Psn, Fas3, NaPi-III, CNT2, NAAT1, Nrg, InR, dpr8, Oatp26F, Ndae1, TkR99D, sas, Gli, ft, Cln7, Dscam4, sns, nrv3, Sln, sand, CG10960, Ten-m, emp, ClC-a	45	CC
GO:0031012	extracellular matrix	30/654	102/5397	1.91422281861191e-06	0.000109429737797314	0.000102763540788639	resilin, dpy, Hml, Col4a1, Edg78E, Cpr11B, Cpr67Fb, trol, serp, Cpr50Cb, Sgs4, Cpr65Az, CG41520, Cpr57A, Gasp, obst-B, l(2)gl, tnc, eys, Cpr72Eb, sas, Cpr47Ef, Mur89F, Cpr30B, verm, fs(1)N, CG8642, Ten-m, Cpr50Ca, Cpr66D	30	CC
GO:0062129	chitin-based extracellular matrix	16/654	40/5397	6.82054177624555e-06	0.000334206547036032	0.000313847486245284	resilin, Edg78E, Cpr11B, Cpr67Fb, serp, Cpr50Cb, Cpr65Az, Cpr57A, Gasp, obst-B, Cpr72Eb, Cpr47Ef, Cpr30B, verm, Cpr50Ca, Cpr66D	16	CC
GO:0043296	apical junction complex	15/654	45/5397	0.000158116971261045	0.00677926514281731	0.00636628857972103	Lac, yrt, par-6, Cont, lft, l(2)gl, Fas3, baz, scrib, Nrg, vari, fw, Gli, sinu, Tsf2	15	CC
GO:0005911	cell-cell junction	25/654	99/5397	0.000218193538833058	0.00798870300237246	0.00750205038737448	RASSF8, Inx2, Lac, yrt, par-6, Abl, Cont, ed, lft, l(2)gl, Fas3, baz, scrib, Nrg, vari, Zasp66, ex, fw, Gli, sinu, ogre, sns, Tsf2, mbt, PDZ-GEF	25	CC
GO:0005918	septate junction	11/654	28/5397	0.000232906793072083	0.00798870300237246	0.00750205038737448	Lac, yrt, Cont, l(2)gl, Fas3, scrib, Nrg, vari, Gli, sinu, Tsf2	11	CC
GO:0070161	anchoring junction	29/654	126/5397	0.000395440309169175	0.0123305478222752	0.0115794004407433	RASSF8, chas, mys, Inx2, Lac, yrt, par-6, Abl, Cont, ed, lft, l(2)gl, Fas3, baz, p130CAS, scrib, Nrg, vari, Zasp66, ex, fw, Gli, sinu, ogre, sns, CG33993, Tsf2, mbt, PDZ-GEF	29	CC
GO:0016324	apical plasma membrane	18/654	65/5397	0.000499777319344855	0.0142853017112738	0.0134150754139935	dyl, chas, Inx2, CG10939, Cad74A, Sec8, RhoGEF2, Egfr, Cad99C, par-6, Psn, baz, ex, sas, sns, Sln, PDZ-GEF, ClC-a	18	CC
GO:0098590	plasma membrane region	38/654	184/5397	0.000554710138942704	0.0146358136659498	0.0137442350215763	dyl, chas, mys, Inx2, CG10939, Cad74A, Graf, Sec8, RhoGEF2, Egfr, Cad99C, yrt, par-6, ninaC, Cals, Ank2, nAChRbeta2, l(2)gl, Flo2, Psn, baz, scrib, dpr8, Arl4, ex, sas, SH3PX1, rtet, ft, Cln7, ogre, sns, Sln, PDZ-GEF, pnut, Lrch, Ten-m, ClC-a	38	CC
GO:0045177	apical part of cell	30/654	136/5397	0.000678071249384028	0.0166127456099087	0.0156007370159032	Btk29A, ck, dyl, chas, Inx2, sty, CG10939, raskol, Cad74A, exp, Sec8, RhoGEF2, Egfr, Cad99C, par-6, Abl, loco, Psn, baz, CG5921, pio, ex, sas, sns, CG33993, Cdc42, Sln, PDZ-GEF, pot, ClC-a	30	CC
GO:0070160	tight junction	11/654	32/5397	0.000886907114124346	0.0200477791436668	0.0188265165504436	Lac, yrt, Cont, l(2)gl, Fas3, scrib, Nrg, vari, Gli, sinu, Tsf2	11	CC
GO:0016471	vacuolar proton-transporting V-type ATPase complex	7/654	15/5397	0.000993621706828967	0.0200477791436668	0.0188265165504436	Vha16-1, Vha55, VhaSFD, Vha68-2, Vha44, VhaAC39-1, VhaPPA1-1	7	CC
GO:0033176	proton-transporting V-type ATPase complex	7/654	15/5397	0.000993621706828967	0.0200477791436668	0.0188265165504436	Vha16-1, Vha55, VhaSFD, Vha68-2, Vha44, VhaAC39-1, VhaPPA1-1	7	CC
GO:0033181	plasma membrane proton-transporting V-type ATPase complex	6/654	12/5397	0.00149911959514273	0.0285665567296643	0.0268263506499225	Vha16-1, Vha55, VhaSFD, Vha68-2, VhaAC39-1, VhaPPA1-1	6	CC
