ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0008061	chitin binding	22/651	45/5187	2.58738085013089e-09	1.0970494804555e-06	9.58692693943235e-07	resilin, CG14304, CG11570, Hml, CG14607, serp, Cht6, Cda5, CG12009, CG31077, Gasp, obst-B, ckd, CG13643, Cda4, Cht8, Mur89F, verm, CG8642, Cht7, CG13676, CG5756	22	MF
GO:0022853	active ion transmembrane transporter activity	25/651	69/5187	3.46861227759393e-07	7.35345802849912e-05	6.42606064059507e-05	Ncc69, MRP, Ae2, bdg, Vmat, SERCA, Nhe3, Vha16-1, mah, NaPi-III, CNT2, NAAT1, Oatp26F, CG9706, Ndae1, Vha55, CG10413, Letm1, SPoCk, VhaSFD, CG6293, Vha68-2, Vha44, VhaAC39-1, VhaPPA1-1	25	MF
GO:0015293	symporter activity	13/651	23/5187	5.86724706977566e-07	8.29237585861627e-05	7.24656480196853e-05	Ncc69, bdg, CG10444, CG6723, Vmat, mah, NaPi-III, CNT2, NAAT1, CG9706, Ndae1, CG10413, CG6293	13	MF
GO:0015294	solute:cation symporter activity	11/651	20/5187	6.44974132103636e-06	0.000683672580029854	0.000597449722369684	Ncc69, bdg, Vmat, mah, NaPi-III, CNT2, NAAT1, CG9706, Ndae1, CG10413, CG6293	11	MF
GO:0015291	secondary active transmembrane transporter activity	18/651	52/5187	3.18180424073895e-05	0.00269816999614663	0.00235788440576866	Ncc69, Ae2, bdg, CG10444, CG6723, Vmat, Nhe3, nac, mah, NaPi-III, CNT2, NAAT1, Oatp26F, CG9706, Ndae1, CG10413, Letm1, CG6293	18	MF
GO:0005215	transporter activity	64/651	320/5187	6.41125207743541e-05	0.00453061813472103	0.00395922935308292	Ctl1, Ncc69, rdgB, MRP, chk, Ae2, CG17036, bdg, Inx2, CG10444, CG6723, Orct, Vmat, Best1, SERCA, CG15890, mnd, galene, Trpm, Nhe3, Pmp70, scramb1, CG42638, CG12004, Vha16-1, Npc1a, nAChRbeta2, nac, aralar1, Grik, CG11655, Osbp, mah, Glut1, NaPi-III, CNT2, NAAT1, CG33298, MFS10, Oatp26F, CG9706, Ndae1, Vha55, CG10413, rtet, Letm1, Cln7, pain, ogre, SPoCk, VhaSFD, pyx, mfrn, CG11537, CG6293, Vha68-2, Vha44, Sln, VhaAC39-1, sand, CG10960, CG10019, VhaPPA1-1, ClC-a	64	MF
GO:0004252	serine-type endopeptidase activity	14/651	38/5187	0.00011168459709007	0.00602286471695184	0.00526327800488343	CG31954, grass, CG8172, MP1, SPE, CG11843, CG9372, Corin, ea, CG11836, Sb, CG32260, Fur1, CG11670	14	MF
GO:0022804	active transmembrane transporter activity	29/651	114/5187	0.00011363895692362	0.00602286471695184	0.00526327800488343	Ncc69, MRP, Ae2, bdg, CG10444, CG6723, Vmat, SERCA, Nhe3, Pmp70, Vha16-1, nac, mah, NaPi-III, CNT2, NAAT1, Oatp26F, CG9706, Ndae1, Vha55, CG10413, Letm1, SPoCk, VhaSFD, CG6293, Vha68-2, Vha44, VhaAC39-1, VhaPPA1-1	29	MF
GO:0008010	structural constituent of chitin-based larval cuticle	12/651	30/5187	0.000138621038911604	0.00653059116650222	0.0057069714265362	resilin, Edg78E, Cpr11B, Cpr67Fb, Cpr50Cb, Cpr65Az, Cpr57A, Cpr72Eb, Cpr47Ef, Cpr30B, Cpr50Ca, Cpr66D	12	MF
GO:0015370	solute:sodium symporter activity	8/651	15/5187	0.000168880967231947	0.00688104914771966	0.00601323063554449	Ncc69, bdg, Vmat, NaPi-III, CNT2, NAAT1, Ndae1, CG6293	8	MF
GO:0008236	serine-type peptidase activity	16/651	49/5187	0.0001918498698335	0.00688104914771966	0.00601323063554449	CG31954, grass, CG8172, MP1, SPE, CG11843, CG9372, Corin, ea, CG4572, CG11836, Sb, CG32260, Fur1, CG11670, ome	16	MF
GO:0019829	ATPase-coupled cation transmembrane transporter activity	9/651	19/5187	0.000209626625421522	0.00688104914771966	0.00601323063554449	SERCA, Vha16-1, Vha55, SPoCk, VhaSFD, Vha68-2, Vha44, VhaAC39-1, VhaPPA1-1	9	MF
GO:0022857	transmembrane transporter activity	58/651	294/5187	0.000210975563491405	0.00688104914771966	0.00601323063554449	Ctl1, Ncc69, MRP, chk, Ae2, CG17036, bdg, Inx2, CG10444, CG6723, Orct, Vmat, Best1, SERCA, CG15890, mnd, galene, Trpm, Nhe3, Pmp70, CG42638, Vha16-1, nAChRbeta2, nac, aralar1, Grik, CG11655, mah, Glut1, NaPi-III, CNT2, NAAT1, MFS10, Oatp26F, CG9706, Ndae1, Vha55, CG10413, rtet, Letm1, Cln7, pain, ogre, SPoCk, VhaSFD, pyx, mfrn, CG11537, CG6293, Vha68-2, Vha44, Sln, VhaAC39-1, sand, CG10960, CG10019, VhaPPA1-1, ClC-a	58	MF
GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	43/651	202/5187	0.000261448529664274	0.00791815546983231	0.00691954003321989	Sox14, crol, grn, knrl, dl, Meics, al, bowl, pb, sob, opa, vnd, tup, Hey, Lim1, dysf, shn, Poxm, CrebA, cbt, hth, ovo, eyg, CG5245, Sox21b, tx, sens-2, Hr51, eve, dimm, zfh2, pnr, vvl, Mad, dpn, otp, stc, cad, aop, byn, Rel, rn, ftz-f1	43	MF
GO:0003700	DNA-binding transcription factor activity	47/651	228/5187	0.00030092630025681	0.0085061834205925	0.00743340755722086	Sox14, crol, grn, knrl, dl, Meics, br, al, bowl, pb, sob, opa, vnd, tup, Hey, Lim1, dysf, shn, su(Hw), Poxm, CrebA, cbt, hth, lola, ovo, eyg, CG5245, fru, Sox21b, tx, sens-2, Hr51, eve, dimm, zfh2, pnr, vvl, Mad, dpn, otp, stc, cad, aop, byn, Rel, rn, ftz-f1	47	MF
GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	43/651	204/5187	0.000327936471884772	0.00860677045856009	0.00752130884164139	Sox14, crol, grn, knrl, dl, Meics, br, al, bowl, pb, sob, opa, vnd, tup, Hey, Lim1, dysf, su(Hw), Poxm, CrebA, cbt, hth, ovo, eyg, CG5245, Sox21b, tx, sens-2, Hr51, eve, dimm, zfh2, pnr, vvl, Mad, dpn, stc, cad, aop, byn, Rel, rn, ftz-f1	43	MF
GO:0015318	inorganic molecular entity transmembrane transporter activity	35/651	156/5187	0.000345082777819626	0.00860677045856009	0.00752130884164139	Ncc69, MRP, Ae2, bdg, Vmat, Best1, SERCA, galene, Trpm, Nhe3, CG42638, Vha16-1, nAChRbeta2, Grik, mah, NaPi-III, CNT2, NAAT1, CG9706, Ndae1, Vha55, CG10413, Letm1, pain, SPoCk, VhaSFD, pyx, mfrn, CG6293, Vha68-2, Vha44, VhaAC39-1, sand, VhaPPA1-1, ClC-a	35	MF
GO:0022890	inorganic cation transmembrane transporter activity	31/651	133/5187	0.000369491911243072	0.00870358724261459	0.00760591536593926	Ncc69, bdg, Vmat, SERCA, galene, Trpm, Nhe3, CG42638, Vha16-1, nAChRbeta2, Grik, mah, NaPi-III, CNT2, NAAT1, CG9706, Ndae1, Vha55, CG10413, Letm1, pain, SPoCk, VhaSFD, pyx, mfrn, CG6293, Vha68-2, Vha44, VhaAC39-1, sand, VhaPPA1-1	31	MF
GO:0015081	sodium ion transmembrane transporter activity	11/651	29/5187	0.000455533384523731	0.00922377806495635	0.00806050118883971	Ncc69, bdg, Vmat, Nhe3, Grik, NaPi-III, CNT2, NAAT1, Ndae1, Letm1, CG6293	11	MF
GO:0005214	structural constituent of chitin-based cuticle	13/651	38/5187	0.000456838064537932	0.00922377806495635	0.00806050118883971	resilin, dyl, Edg78E, Cpr11B, Cpr67Fb, Cpr50Cb, Cpr65Az, Cpr57A, Cpr72Eb, Cpr47Ef, Cpr30B, Cpr50Ca, Cpr66D	13	MF
GO:0042302	structural constituent of cuticle	13/651	38/5187	0.000456838064537932	0.00922377806495635	0.00806050118883971	resilin, dyl, Edg78E, Cpr11B, Cpr67Fb, Cpr50Cb, Cpr65Az, Cpr57A, Cpr72Eb, Cpr47Ef, Cpr30B, Cpr50Ca, Cpr66D	13	MF
GO:0008146	sulfotransferase activity	7/651	14/5187	0.000734228847745181	0.0119735781324599	0.0104635042269759	St4, St2, CG31743, St1, CG13937, CG14024, pip	7	MF
GO:0009678	pyrophosphate hydrolysis-driven proton transmembrane transporter activity	7/651	14/5187	0.000734228847745181	0.0119735781324599	0.0104635042269759	Vha16-1, Vha55, VhaSFD, Vha68-2, Vha44, VhaAC39-1, VhaPPA1-1	7	MF
GO:0042625	ATPase-coupled ion transmembrane transporter activity	7/651	14/5187	0.000734228847745181	0.0119735781324599	0.0104635042269759	Vha16-1, Vha55, VhaSFD, Vha68-2, Vha44, VhaAC39-1, VhaPPA1-1	7	MF
GO:0044769	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	7/651	14/5187	0.000734228847745181	0.0119735781324599	0.0104635042269759	Vha16-1, Vha55, VhaSFD, Vha68-2, Vha44, VhaAC39-1, VhaPPA1-1	7	MF
GO:0046961	proton-transporting ATPase activity, rotational mechanism	7/651	14/5187	0.000734228847745181	0.0119735781324599	0.0104635042269759	Vha16-1, Vha55, VhaSFD, Vha68-2, Vha44, VhaAC39-1, VhaPPA1-1	7	MF
GO:0015075	ion transmembrane transporter activity	39/651	187/5187	0.00076776761312099	0.0120567951097518	0.0105362261137851	Ncc69, MRP, Ae2, bdg, Vmat, Best1, SERCA, galene, Trpm, Nhe3, CG42638, Vha16-1, nAChRbeta2, aralar1, Grik, CG11655, mah, NaPi-III, CNT2, NAAT1, Oatp26F, CG9706, Ndae1, Vha55, CG10413, Letm1, pain, SPoCk, VhaSFD, pyx, mfrn, CG6293, Vha68-2, Vha44, VhaAC39-1, sand, CG10960, VhaPPA1-1, ClC-a	39	MF
GO:0008106	alcohol dehydrogenase (NADP+) activity	6/651	11/5187	0.00100937250904725	0.0152847837084298	0.0133571098941591	CG7675, Drat, Akr1B, CG2070, CG2064, CG2065	6	MF
GO:0046873	metal ion transmembrane transporter activity	21/651	83/5187	0.0010557044096573	0.0154351265411964	0.0134884919128628	Ncc69, bdg, Vmat, SERCA, galene, Trpm, Nhe3, CG42638, Grik, NaPi-III, CNT2, NAAT1, Ndae1, CG10413, Letm1, pain, SPoCk, pyx, mfrn, CG6293, sand	21	MF
GO:0008509	anion transmembrane transporter activity	18/651	68/5187	0.00135556078123316	0.0191585923747619	0.0167423647366341	Ncc69, MRP, Ae2, Vmat, Best1, Nhe3, aralar1, CG11655, mah, NAAT1, Oatp26F, CG9706, Ndae1, CG10413, Letm1, CG6293, CG10960, ClC-a	18	MF
