ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0048598	embryonic morphogenesis	23/220	174/5494	3.15832256443032e-07	0.000560602255186382	0.00049269832005113	sage, kay, Mcr, dpp, peb, jeb, spo, Traf6, Pld, aop, jar, btsz, InR, EcR, Col4a1, crb, Inx2, ea, ct, Dronc, trbl, S, mthl1	23	BP
GO:0048729	tissue morphogenesis	38/220	463/5494	1.18096196908669e-05	0.0104810374756444	0.00921150335887616	nw, ptc, sage, kay, Spn88Ea, B-H2, Mcr, dpp, peb, RhoGAP5A, jeb, CG17211, Pal1, spo, Fhos, sano, jbug, Chd1, Traf6, aop, jar, btsz, bbg, dpy, d, Duox, EcR, ds, Col4a1, crb, Eip63E, Inx2, stan, Nrg, ct, S, mthl1, Myo61F	38	BP
GO:0090130	tissue migration	18/220	148/5494	2.10155705919548e-05	0.0124019938481903	0.0108997805088321	ptc, Mhc, CASK, ex, kay, phm, dpp, peb, jeb, Ptpmeg, aop, jar, InR, bbg, cindr, EcR, Pu, mthl1	18	BP
GO:0001667	ameboidal-type cell migration	18/220	152/5494	3.03181016675006e-05	0.0124019938481903	0.0108997805088321	ptc, Mhc, CASK, ex, kay, phm, dpp, peb, jeb, Ptpmeg, aop, jar, InR, bbg, cindr, EcR, Pu, mthl1	18	BP
GO:0007166	cell surface receptor signaling pathway	37/220	471/5494	4.16159988115326e-05	0.0124019938481903	0.0108997805088321	ptc, Tl, PlexB, Cirl, Fs, Spn88Ea, Socs16D, dpp, peb, RhoGAP5A, jeb, eIF4A, Lrt, Ephrin, Vps4, Cad96Ca, mthl15, Ptpmeg, Traf6, aop, InR, Duox, ndl, Ddr, rau, Col4a1, crb, Eip63E, Wnt2, Hsp83, p53, stan, ea, shams, trbl, mthl1, Buffy	37	BP
GO:0002009	morphogenesis of an epithelium	36/220	453/5494	4.19801556138125e-05	0.0124019938481903	0.0108997805088321	nw, ptc, kay, Spn88Ea, B-H2, Mcr, dpp, peb, RhoGAP5A, CG17211, Pal1, spo, Fhos, sano, jbug, Chd1, Traf6, aop, jar, btsz, bbg, dpy, d, Duox, EcR, ds, Col4a1, crb, Eip63E, Inx2, stan, Nrg, ct, S, mthl1, Myo61F	36	BP
GO:0003012	muscle system process	7/220	27/5494	6.71457482639779e-05	0.0124019938481903	0.0108997805088321	Mhc, Fhos, Mlc1, Ca-alpha1D, Pkd2, CG4928, tn	7	BP
GO:0042749	regulation of circadian sleep/wake cycle	7/220	27/5494	6.71457482639779e-05	0.0124019938481903	0.0108997805088321	wake, InR, EcR, CrebB, Hsp83, S, cyc	7	BP
GO:0006936	muscle contraction	6/220	19/5494	6.74159131555987e-05	0.0124019938481903	0.0108997805088321	Mhc, Mlc1, Ca-alpha1D, Pkd2, CG4928, tn	6	BP
GO:0090066	regulation of anatomical structure size	20/220	193/5494	7.64775425422848e-05	0.0124019938481903	0.0108997805088321	nw, Mcr, dpp, conu, Pal1, obst-A, Best1, sano, Cad96Ca, Ncc69, btsz, InR, dpy, sals, EcR, ds, stan, Nrg, Nup98-96, trbl	20	BP
GO:0040011	locomotion	35/220	448/5494	7.75831512056839e-05	0.0124019938481903	0.0108997805088321	ptc, Mhc, Tl, PlexB, CASK, ex, kay, phm, dpp, pdm3, peb, jeb, Lrt, Ephrin, Fhos, Ca-alpha1D, jbug, Pkd2, Ptpmeg, Pld, aop, jar, CG6867, InR, bbg, cindr, stl, FoxP, EcR, Pu, stan, Neto, Nrg, ct, mthl1	35	BP
GO:0048870	cell motility	24/220	258/5494	8.38444654525543e-05	0.0124019938481903	0.0108997805088321	ptc, Mhc, PlexB, CASK, ex, kay, phm, dpp, peb, jeb, Lrt, Fhos, Pkd2, Ptpmeg, Pld, aop, jar, InR, bbg, cindr, stl, EcR, Pu, mthl1	24	BP
GO:0051674	localization of cell	24/220	260/5494	9.47761513702051e-05	0.0128285378368276	0.0112746586058879	ptc, Mhc, PlexB, CASK, ex, kay, phm, dpp, peb, jeb, Lrt, Fhos, Pkd2, Ptpmeg, Pld, aop, jar, InR, bbg, cindr, stl, EcR, Pu, mthl1	24	BP
GO:0001700	embryonic development via the syncytial blastoderm	15/220	123/5494	0.000101182833642584	0.0128285378368276	0.0112746586058879	kay, Mcr, phm, dpp, peb, spo, Traf6, aop, jar, InR, EcR, Col4a1, crb, Eip63E, Dronc	15	BP
GO:0030334	regulation of cell migration	11/220	72/5494	0.000115692983349416	0.0136638587397742	0.0120087997938298	ptc, PlexB, kay, peb, Lrt, Fhos, Ptpmeg, aop, InR, stl, Pu	11	BP
GO:0009792	embryo development ending in birth or egg hatching	15/220	126/5494	0.000133417504466037	0.0136638587397742	0.0120087997938298	kay, Mcr, phm, dpp, peb, spo, Traf6, aop, jar, InR, EcR, Col4a1, crb, Eip63E, Dronc	15	BP
GO:0040012	regulation of locomotion	13/220	99/5494	0.000138948615835703	0.0136638587397742	0.0120087997938298	ptc, PlexB, CASK, kay, peb, Lrt, Fhos, Ptpmeg, aop, InR, stl, Pu, stan	13	BP
GO:0010631	epithelial cell migration	16/220	141/5494	0.000141576279593077	0.0136638587397742	0.0120087997938298	ptc, Mhc, CASK, ex, kay, phm, dpp, peb, Ptpmeg, aop, jar, InR, bbg, cindr, EcR, Pu	16	BP
GO:2000145	regulation of cell motility	11/220	74/5494	0.000149105553172583	0.0136638587397742	0.0120087997938298	ptc, PlexB, kay, peb, Lrt, Fhos, Ptpmeg, aop, InR, stl, Pu	11	BP
GO:0090132	epithelium migration	16/220	142/5494	0.000153958971715766	0.0136638587397742	0.0120087997938298	ptc, Mhc, CASK, ex, kay, phm, dpp, peb, Ptpmeg, aop, jar, InR, bbg, cindr, EcR, Pu	16	BP
GO:0042745	circadian sleep/wake cycle	7/220	31/5494	0.000173388225673055	0.0146554333604606	0.0128802681928555	wake, InR, EcR, CrebB, Hsp83, S, cyc	7	BP
