ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0005576	extracellular region	40/217	293/5397	2.7899522586682e-12	5.80310069802985e-10	5.34496116923802e-10	nw, CG11836, Cht10, CG8560, Fs, Tep2, Muc11A, Hml, Spn38F, Spn88Ea, Tep4, Mcr, Cp1, dpp, CG12009, jeb, Pal1, obst-A, CREG, CG40160, CG3604, fat-spondin, CG6218, sdk, NLaz, CG43896, jar, CG6867, PPO3, cindr, CG18735, ndl, Plod, Col4a1, Wnt2, Spn55B, Mur89F, Cpr67Fb, ea, CG10407	40	CC
GO:0005615	extracellular space	27/217	178/5397	1.36372716871567e-09	1.41827625546429e-07	1.30630707740132e-07	nw, CG11836, CG8560, Fs, Tep2, Hml, Spn38F, Spn88Ea, Tep4, Mcr, Cp1, dpp, jeb, CREG, CG40160, CG3604, CG6218, NLaz, CG6867, CG18735, Plod, Col4a1, Wnt2, Spn55B, Cpr67Fb, ea, CG10407	27	CC
GO:0045177	apical part of cell	18/217	136/5397	6.71003967789323e-06	0.000465229417667264	0.000428500779430375	ex, Mcr, conu, Ca-alpha1D, sano, a, Cad96Ca, sdk, Fbxl7, btsz, bbg, cindr, crb, Inx2, insc, stan, Zip89B, CG6398	18	CC
GO:0016327	apicolateral plasma membrane	6/217	17/5397	3.36369493016693e-05	0.00139929709094944	0.00128882626797975	ex, Mcr, d, ds, crb, Inx2	6	CC
GO:0016459	myosin complex	6/217	17/5397	3.36369493016693e-05	0.00139929709094944	0.00128882626797975	Mhc, Mlc1, Prm, jar, d, Myo61F	6	CC
GO:0005887	integral component of plasma membrane	19/217	180/5397	9.51380298800948e-05	0.00329811836917662	0.00303774060318899	ptc, Tl, PlexB, Cirl, Ephrin, Best1, Cad96Ca, sdk, mthl15, GluClalpha, CNT2, InR, Duox, Ddr, GlyT, Tsp74F, ds, Neto, Nrg	19	CC
GO:0043235	receptor complex	7/217	31/5397	0.000177640322331613	0.00527845529213937	0.00486173513749678	PlexB, Cad96Ca, Traf6, InR, Ddr, Neto, cyc	7	CC
GO:0031226	intrinsic component of plasma membrane	19/217	193/5397	0.000240360654146505	0.00624937700780913	0.00575600513877157	ptc, Tl, PlexB, Cirl, Ephrin, Best1, Cad96Ca, sdk, mthl15, GluClalpha, CNT2, InR, Duox, Ddr, GlyT, Tsp74F, ds, Neto, Nrg	19	CC
GO:0098590	plasma membrane region	18/217	184/5397	0.00037981197151006	0.00877787667489917	0.00808488641109134	ptc, Tl, ex, Tob, Mcr, Arl4, Ca-alpha1D, a, btsz, cindr, d, Ank2, ds, crb, Inx2, stan, Zip89B, Hil	18	CC
GO:0005911	cell-cell junction	12/217	99/5397	0.000551511104666331	0.0114714309770597	0.0105657916893971	Efa6, CASK, ex, Mcr, a, Fbxl7, bbg, crb, Inx2, stan, Nrg, CG6398	12	CC
GO:0031012	extracellular matrix	12/217	102/5397	0.000724747695349328	0.0137043200575146	0.0126224000529739	Muc11A, Hml, Cpr50Cb, CG17211, obst-A, fat-spondin, dpy, stl, Col4a1, Mur89F, Cpr67Fb, CG1136	12	CC
GO:0030312	external encapsulating structure	12/217	105/5397	0.000941426062456553	0.0163180517492469	0.0150297845058853	Muc11A, Hml, Cpr50Cb, CG17211, obst-A, fat-spondin, dpy, stl, Col4a1, Mur89F, Cpr67Fb, CG1136	12	CC
GO:0016324	apical plasma membrane	9/217	65/5397	0.00104495939707695	0.0167193503532312	0.015399401641134	ex, Mcr, Ca-alpha1D, a, btsz, crb, Inx2, stan, Zip89B	9	CC
GO:0070161	anchoring junction	13/217	126/5397	0.00152453707847591	0.0226502651659278	0.0208620863370387	Efa6, CASK, ex, Mcr, Lrt, a, Fbxl7, bbg, crb, Inx2, stan, Nrg, CG6398	13	CC
