ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0042335	cuticle development	15/183	110/5494	2.85289461066762e-06	0.00353245430936821	0.00326168514112891	pygo, Cpr73D, ck, Cpr47Ee, dsx-c73A, Cpr50Cb, dpy, Cpr49Aa, Cht5, boi, Cpr65Eb, Cpr67Fb, m, Cpr67B, Ser	15	BP
GO:0006812	cation transport	18/183	167/5494	8.87180843227241e-06	0.00353245430936821	0.00326168514112891	nAChRalpha7, RyR, mnd, KaiR1D, Irk1, OtopLc, sand, Stacl, Hk, CG4995, Ca-beta, ChT, CG4928, Nha1, Rgk3, CG15270, qvr, stj	18	BP
GO:0006811	ion transport	22/183	236/5494	9.41747658435586e-06	0.00353245430936821	0.00326168514112891	Lcch3, nAChRalpha7, RyR, mnd, KaiR1D, GXIVsPLA2, Irk1, MFS10, OtopLc, sand, Stacl, Hk, CG4995, Ca-beta, ChT, CG4928, Nha1, Rgk3, CG15270, qvr, Ugalt, stj	22	BP
GO:2001257	regulation of cation channel activity	6/183	17/5494	1.1469845207443e-05	0.00353245430936821	0.00326168514112891	Stacl, Hk, Ca-beta, Rgk3, qvr, stj	6	BP
GO:0040003	chitin-based cuticle development	12/183	81/5494	1.23253814004474e-05	0.00353245430936821	0.00326168514112891	pygo, Cpr73D, ck, Cpr47Ee, dsx-c73A, Cpr50Cb, dpy, Cpr49Aa, Cht5, Cpr65Eb, Cpr67Fb, Cpr67B	12	BP
GO:0007389	pattern specification process	27/183	366/5494	6.45749334773811e-05	0.0147955113979782	0.0136614080341269	S, pygo, Mgat1, tara, dpn, rt, slp1, ck, dsh, jvl, Pc, CadN, CG5890, Myc, emc, sgl, amos, tx, brat, wkd, cbt, stan, boi, m, bowl, nab, Ser	27	BP
GO:0010959	regulation of metal ion transport	7/183	33/5494	8.3108775171573e-05	0.0147955113979782	0.0136614080341269	Stacl, Hk, Ca-beta, CG4928, Rgk3, qvr, stj	7	BP
GO:0003002	regionalization	25/183	339/5494	0.000124656469259551	0.0147955113979782	0.0136614080341269	S, pygo, Mgat1, tara, dpn, rt, slp1, ck, dsh, jvl, Pc, CG5890, emc, sgl, amos, tx, brat, wkd, cbt, stan, boi, m, bowl, nab, Ser	25	BP
GO:0022898	regulation of transmembrane transporter activity	6/183	25/5494	0.000131356876559899	0.0147955113979782	0.0136614080341269	Stacl, Hk, Ca-beta, Rgk3, qvr, stj	6	BP
GO:0032409	regulation of transporter activity	6/183	25/5494	0.000131356876559899	0.0147955113979782	0.0136614080341269	Stacl, Hk, Ca-beta, Rgk3, qvr, stj	6	BP
GO:0032412	regulation of ion transmembrane transporter activity	6/183	25/5494	0.000131356876559899	0.0147955113979782	0.0136614080341269	Stacl, Hk, Ca-beta, Rgk3, qvr, stj	6	BP
GO:0034220	ion transmembrane transport	15/183	151/5494	0.000131836390210061	0.0147955113979782	0.0136614080341269	Lcch3, nAChRalpha7, RyR, mnd, KaiR1D, OtopLc, sand, Stacl, Hk, CG4995, Ca-beta, Rgk3, qvr, Ugalt, stj	15	BP
GO:0043269	regulation of ion transport	8/183	47/5494	0.000134223062228693	0.0147955113979782	0.0136614080341269	KaiR1D, Stacl, Hk, Ca-beta, CG4928, Rgk3, qvr, stj	8	BP
GO:0003008	system process	22/183	282/5494	0.000146234578259855	0.0149681536175981	0.0138208169077172	Mhc, Col4a1, Lcch3, nAChRalpha7, RyR, Calx, ck, Tmhs, tn, meng, for, CenG1A, DCX-EMAP, CG4928, dpr7, Nha1, Ank2, qvr, Scgdelta, Fitm, stj, CG6972	22	BP
GO:0070588	calcium ion transmembrane transport	6/183	26/5494	0.000166085076549641	0.015866660979709	0.014650452015642	RyR, KaiR1D, Stacl, Ca-beta, Rgk3, stj	6	BP
