ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:0015267	channel activity	14/181	79/5187	4.09955044694255e-07	5.37041108549474e-05	4.25058651604044e-05	AQP, Lcch3, nAChRalpha7, Inx2, RyR, KaiR1D, Irk1, OtopLc, sand, Hk, Ca-beta, CG15270, Inx3, stj	14	MF
GO:0022803	passive transmembrane transporter activity	14/181	79/5187	4.09955044694255e-07	5.37041108549474e-05	4.25058651604044e-05	AQP, Lcch3, nAChRalpha7, Inx2, RyR, KaiR1D, Irk1, OtopLc, sand, Hk, Ca-beta, CG15270, Inx3, stj	14	MF
GO:0005509	calcium ion binding	17/181	134/5187	3.1553749541413e-06	0.000223986727087719	0.000177281579896668	RyR, CG44422, Calx, GXIVsPLA2, LpR2, CadN, CG5890, dpy, Mctp, frac, TpnC41C, CG33978, stan, CG7324, Nrg, Fkbp14, Ser	17	MF
GO:0005214	structural constituent of chitin-based cuticle	9/181	38/5187	4.27455586045266e-06	0.000223986727087719	0.000177281579896668	Cpr73D, Cpr47Ee, dsx-c73A, Cpr50Cb, Cpr49Aa, Cpr65Eb, Cpr67Fb, m, Cpr67B	9	MF
GO:0042302	structural constituent of cuticle	9/181	38/5187	4.27455586045266e-06	0.000223986727087719	0.000177281579896668	Cpr73D, Cpr47Ee, dsx-c73A, Cpr50Cb, Cpr49Aa, Cpr65Eb, Cpr67Fb, m, Cpr67B	9	MF
GO:0022836	gated channel activity	9/181	42/5187	1.0361927907178e-05	0.000452470851946773	0.000358122771528784	Lcch3, nAChRalpha7, RyR, KaiR1D, Irk1, Hk, Ca-beta, CG15270, stj	9	MF
GO:0005261	cation channel activity	10/181	59/5187	2.9680411203568e-05	0.00106564476708135	0.000843439208979616	nAChRalpha7, RyR, KaiR1D, Irk1, OtopLc, sand, Hk, Ca-beta, CG15270, stj	10	MF
GO:0005216	ion channel activity	11/181	72/5187	3.25387715139344e-05	0.00106564476708135	0.000843439208979616	Lcch3, nAChRalpha7, RyR, KaiR1D, Irk1, OtopLc, sand, Hk, Ca-beta, CG15270, stj	11	MF
GO:0008010	structural constituent of chitin-based larval cuticle	7/181	30/5187	5.78013883101729e-05	0.00168266263747392	0.00133179806983673	Cpr73D, Cpr47Ee, Cpr50Cb, Cpr49Aa, Cpr65Eb, Cpr67Fb, Cpr67B	7	MF
GO:0008146	sulfotransferase activity	5/181	14/5187	7.58586363412376e-05	0.00198749627214043	0.00157306856412882	CG14024, CG31743, CG9164, CG13937, St2	5	MF
GO:0022843	voltage-gated cation channel activity	4/181	11/5187	0.000390505748204154	0.00930113691177166	0.0073616873106429	Irk1, Hk, Ca-beta, stj	4	MF
GO:0008324	cation transmembrane transporter activity	14/181	145/5187	0.000475860894872946	0.0103896295380593	0.00822321020087459	nAChRalpha7, RyR, Calx, KaiR1D, Irk1, OtopLc, sand, Hk, CG4995, Ca-beta, ChT, Nha1, CG15270, stj	14	MF
GO:0046873	metal ion transmembrane transporter activity	10/181	83/5187	0.000555920606546668	0.0112039383780944	0.00886772141616953	RyR, Calx, KaiR1D, Irk1, sand, Hk, Ca-beta, ChT, Nha1, stj	10	MF
GO:0005215	transporter activity	23/181	320/5187	0.00065946812519395	0.0117844672334789	0.0093271998593626	AQP, Lcch3, nAChRalpha7, Inx2, RyR, mnd, Calx, KaiR1D, Irk1, MFS10, OtopLc, sand, Npc2a, Hk, CG4995, Ca-beta, ChT, Nha1, CG15270, Inx3, CG1513, Ugalt, stj	23	MF
GO:0022890	inorganic cation transmembrane transporter activity	13/181	133/5187	0.000674683238557955	0.0117844672334789	0.0093271998593626	nAChRalpha7, RyR, Calx, KaiR1D, Irk1, OtopLc, sand, Hk, Ca-beta, ChT, Nha1, CG15270, stj	13	MF
GO:0008061	chitin binding	7/181	45/5187	0.000827606055226558	0.0129947455712061	0.0102851140117622	obst-J, CG12009, CG43896, CG14607, CG8192, Cht5, Mur89F	7	MF
GO:0140110	transcription regulator activity	24/181	349/5187	0.000943127670957262	0.0129947455712061	0.0102851140117622	pygo, CG11584, tara, Sox14, Octbeta2R, dpn, slp1, bab2, Myc, emc, Eip74EF, amos, tx, trh, CG18476, cbt, lmd, CG1368, Ptx1, bowl, nab, Ddx1, Hr3, MESR3	24	MF
GO:0015276	ligand-gated ion channel activity	5/181	23/5187	0.000987030484982776	0.0129947455712061	0.0102851140117622	Lcch3, nAChRalpha7, RyR, KaiR1D, Irk1	5	MF
GO:0022834	ligand-gated channel activity	5/181	23/5187	0.000987030484982776	0.0129947455712061	0.0102851140117622	Lcch3, nAChRalpha7, RyR, KaiR1D, Irk1	5	MF
GO:0015318	inorganic molecular entity transmembrane transporter activity	14/181	156/5187	0.000991965310779095	0.0129947455712061	0.0102851140117622	Lcch3, nAChRalpha7, RyR, Calx, KaiR1D, Irk1, OtopLc, sand, Hk, Ca-beta, ChT, Nha1, CG15270, stj	14	MF
GO:0022857	transmembrane transporter activity	21/181	294/5187	0.001239146192895	0.0154598239304042	0.0122361804511436	AQP, Lcch3, nAChRalpha7, Inx2, RyR, mnd, Calx, KaiR1D, Irk1, MFS10, OtopLc, sand, Hk, CG4995, Ca-beta, ChT, Nha1, CG15270, Inx3, Ugalt, stj	21	MF
GO:0005201	extracellular matrix structural constituent	4/181	15/5187	0.00144729703940059	0.0157996593467898	0.0125051542439437	Col4a1, dpy, prc, Mur89F	4	MF
GO:0005244	voltage-gated ion channel activity	4/181	15/5187	0.00144729703940059	0.0157996593467898	0.0125051542439437	Irk1, Hk, Ca-beta, stj	4	MF
GO:0022832	voltage-gated channel activity	4/181	15/5187	0.00144729703940059	0.0157996593467898	0.0125051542439437	Irk1, Hk, Ca-beta, stj	4	MF
GO:0016758	hexosyltransferase activity	9/181	80/5187	0.0017197609342508	0.0175691426411242	0.0139056693463297	Mgat1, beta4GalNAcTA, rt, alpha4GT1, FucTC, tw, beta4GalT7, C1GalTA, Gyg	9	MF
GO:0016782	transferase activity, transferring sulphur-containing groups	5/181	26/5187	0.00177240477099203	0.0175691426411242	0.0139056693463297	CG14024, CG31743, CG9164, CG13937, St2	5	MF
GO:0005267	potassium channel activity	4/181	16/5187	0.00187761829752472	0.0175691426411242	0.0139056693463297	KaiR1D, Irk1, sand, Hk	4	MF
