ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-DME-5576891	Cardiac conduction	8/93	25/3108	3.38408568566329e-07	8.22332821616179e-05	6.76817137132658e-05	CG44422, Calx, Irk1, sand, CG6414, CG5890, Ca-beta, stj	8
R-DME-397014	Muscle contraction	8/93	38/3108	1.11057942173593e-05	0.00134935399740915	0.00111057942173593	CG44422, Calx, Irk1, sand, CG6414, CG5890, Ca-beta, stj	8
R-DME-975576	N-glycan antennae elongation in the medial/trans-Golgi	5/93	13/3108	2.2937489513264e-05	0.00185793665057438	0.00152916596755093	beta4GalNAcTA, FucTC, CG14024, CG31743, CG13937	5
R-DME-975578	Reactions specific to the complex N-glycan synthesis pathway	4/93	10/3108	0.000137508967433473	0.00793918865600716	0.0065343116510347	FucTC, CG14024, CG31743, CG13937	4
R-DME-948021	Transport to the Golgi and subsequent modification	11/93	101/3108	0.000163357791275868	0.00793918865600716	0.0065343116510347	Mgat1, Spn42De, beta4GalNAcTA, FucTC, Spn28F, Spn42Da, CG14024, CG31743, CG13937, betaTub56D, alphaTub85E	11
R-DME-112316	Neuronal System	11/93	104/3108	0.000212829113220709	0.00861957908543872	0.00709430377402364	Lcch3, nAChRalpha7, KaiR1D, Irk1, sand, Hsc70-4, CG6414, Hk, Ca-beta, ChT, stj	11
R-DME-112315	Transmission across Chemical Synapses	9/93	81/3108	0.000574766012164396	0.0199525915651354	0.0164218860618399	Lcch3, nAChRalpha7, KaiR1D, Irk1, Hsc70-4, CG6414, Ca-beta, ChT, stj	9
R-DME-109582	Hemostasis	13/93	162/3108	0.000875217579051939	0.0265847339637026	0.0218804394762985	Spn42De, Calx, Spn28F, Spn42Da, ush, Act87E, Act88F, Act79B, CG9095, cta, betaTub56D, Pvf1, alphaTub85E	13
R-DME-5173105	O-linked glycosylation	5/93	29/3108	0.001447450009626	0.0371524400023832	0.030578139919657	beta4GalNAcTA, rt, alpha4GT1, tw, C1GalTA	5
R-DME-114608	Platelet degranulation 	8/93	76/3108	0.00168179769558113	0.0371524400023832	0.030578139919657	Spn42De, Spn28F, Spn42Da, Act87E, Act88F, Act79B, CG9095, Pvf1	8
R-DME-76005	Response to elevated platelet cytosolic Ca2+	8/93	76/3108	0.00168179769558113	0.0371524400023832	0.030578139919657	Spn42De, Spn28F, Spn42Da, Act87E, Act88F, Act79B, CG9095, Pvf1	8
R-DME-1500931	Cell-Cell communication	5/93	33/3108	0.0026319141177517	0.0485377554768693	0.0399487699398101	dpy, rst, Act87E, Act88F, Act79B	5
R-DME-196025	Formation of annular gap junctions	3/93	10/3108	0.00267241508515921	0.0485377554768693	0.0399487699398101	Act87E, Act88F, Act79B	3
R-DME-1793185	Chondroitin sulfate/dermatan sulfate metabolism	4/93	21/3108	0.00304254870196419	0.0485377554768693	0.0399487699398101	beta4GalT7, CG14024, CG31743, CG13937	4
R-DME-446203	Asparagine N-linked glycosylation	11/93	145/3108	0.00349504292156992	0.0485377554768693	0.0399487699398101	Mgat1, Spn42De, beta4GalNAcTA, FucTC, Spn28F, Spn42Da, CG14024, CG31743, CG13937, betaTub56D, alphaTub85E	11
R-DME-157858	Gap junction trafficking and regulation	3/93	11/3108	0.00359538929458291	0.0485377554768693	0.0399487699398101	Act87E, Act88F, Act79B	3
R-DME-190828	Gap junction trafficking	3/93	11/3108	0.00359538929458291	0.0485377554768693	0.0399487699398101	Act87E, Act88F, Act79B	3
R-DME-190873	Gap junction degradation	3/93	11/3108	0.00359538929458291	0.0485377554768693	0.0399487699398101	Act87E, Act88F, Act79B	3
