GeneID	FlyID	GeneName	AnnotatedName	SendaiDay0_SendaiDay7_FC	SendaiDay0_SendaiDay7_qval	SapporoDay0_SapporoDay7_FC	SapporoDay0_SapporoDay7_qval	SapporoDay0_SapporoDay31_FC	SapporoDay0_SapporoDay31_qval	SapporoDay7_SapporoDay31_FC	SapporoDay7_SapporoDay31_qval	SendaiDay0_SapporoDay0_FC	SendaiDay0_SapporoDay0_qval	SendaiDay0_SapporoDay7_FC	SendaiDay0_SapporoDay7_qval	SendaiDay0_SapporoDay31_FC	SendaiDay0_SapporoDay31_qval	SendaiDay7_SapporoDay0_FC	SendaiDay7_SapporoDay0_qval	SendaiDay7_SapporoDay7_FC	SendaiDay7_SapporoDay7_qval	SendaiDay7_SapporoDay31_FC	SendaiDay7_SapporoDay31_qval
LOC123744847	FBgn0030049	Trf4-1	terminal nucleotidyltransferase 4B-like	NA	NA	NA	NA	2.26705062039665	0.0301495114950795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC123744853	FBgn0001149	GstD1	glutathione S-transferase 1-1-like	NA	NA	NA	NA	2.01582448678883	0.0284257528923118	NA	NA	NA	NA	NA	NA	NA	NA	3.09435974918501	0.000105473515730847	NA	NA	-1.20144867246556	0.0209200993352359
LOC123744855	FBgn0034157	resilin	pro-resilin-like	NA	NA	NA	NA	5.22444344335565	0.0167190173560706	NA	NA	NA	NA	NA	NA	NA	NA	7.11564047410918	0.000164665854278037	NA	NA	NA	NA
LOC123744934	FBgn0051954	CG31954	uncharacterized	NA	NA	-4.42623693201971	0.0497481598290434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.48706327672783	9.24020376666692e-06	NA	NA
LOC123744940	FBgn0038629	CG14304	mucin-5AC-like	NA	NA	NA	NA	3.43099697689359	0.00124487557299289	NA	NA	NA	NA	NA	NA	NA	NA	3.12834909397901	0.00339916450775323	NA	NA	NA	NA
LOC123744967	FBgn0003502	Btk29A	tyrosine-protein kinase Btk29A-like	NA	NA	NA	NA	2.78228019140367	0.00366825242712672	NA	NA	NA	NA	NA	NA	NA	NA	2.82120775222402	0.00279018765507683	NA	NA	NA	NA
LOC123744984	FBgn0005612	Sox14	transcription factor SOX-4-like	NA	NA	NA	NA	3.11585045820626	0.0218804387168112	NA	NA	NA	NA	NA	NA	NA	NA	2.85685374618809	0.0389976763423067	NA	NA	NA	NA
LOC123744990	FBgn0036230	CG11570	peritrophin-1-like	NA	NA	-8.00656967963533	0.0430804842896366	NA	NA	7.63986775279026	0.0166976188104897	NA	NA	NA	NA	NA	NA	NA	NA	-8.68260004112199	1.56334557307332e-07	NA	NA
LOC123745008	FBgn0003310	S	uncharacterized	NA	NA	NA	NA	4.29938581688143	0.0384150366365737	NA	NA	NA	NA	NA	NA	NA	NA	7.05483610736472	3.04195094300097e-05	NA	NA	-2.83892956002041	0.000845792845473461
LOC123745031	FBgn0030805	wus	dnaJ homolog subfamily C member 22-like	NA	NA	NA	NA	3.62972795837335	0.00468431330988613	NA	NA	NA	NA	NA	NA	NA	NA	3.1324690341576	0.0198188592616389	NA	NA	NA	NA
LOC123745032	FBgn0020309	crol	zinc finger protein 660-like	NA	NA	NA	NA	-2.07951148918687	0.0434530137312219	NA	NA	NA	NA	NA	NA	NA	NA	-2.0564329797303	0.0470084960849332	NA	NA	NA	NA
LOC123745048	FBgn0044328	CG32052	acid sphingomyelinase-like phosphodiesterase 3b	NA	NA	NA	NA	3.71736810459332	0.0064592072425272	NA	NA	NA	NA	NA	NA	NA	NA	3.76899801894861	0.00744337558927866	NA	NA	NA	NA
LOC123745051	FBgn0000317	ck	unconventional myosin-IXb-like	NA	NA	NA	NA	2.4586183907319	0.00542908678770157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14951644428635	0.0347466713609569
LOC123745067	FBgn0001138	grn	GATA-binding factor 2-like	NA	NA	7.31817417875029	0.023335734425528	8.35734503349704	2.22420479277975e-08	NA	NA	NA	NA	NA	NA	NA	NA	8.00125704748114	2.71978937904639e-07	NA	NA	NA	NA
LOC123745070	FBgn0001138	grn	transcription factor GATA-3-like	NA	NA	NA	NA	4.3194662934597	0.00835174702281926	NA	NA	NA	NA	NA	NA	NA	NA	5.05399522802377	0.000503840155610894	NA	NA	NA	NA
LOC123745072	NA	NA	uncharacterized	NA	NA	NA	NA	-3.2799040112509	0.0164205230997342	-4.52418725335529	0.00410729529124233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4.15740276714638	2.1049605282006e-09
LOC123745164	NA	NA	YEATS domain-containing protein 2-like	NA	NA	10.2472016945414	0.014316325811557	NA	NA	-11.1496816780164	0.00326389616240008	NA	NA	10.307309946356	0.0187460039989543	NA	NA	5.34616978652993	0.0392247133437961	NA	NA	-6.28309366771077	0.0128671320529199
LOC123745228	NA	NA	uncharacterized	NA	NA	NA	NA	-9.22650512323142	0.0049918903047998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
