GeneID	FlyID	GeneName	AnnotatedName	SendaiDay0_SendaiDay7_FC	SendaiDay0_SendaiDay7_qval	SapporoDay0_SapporoDay7_FC	SapporoDay0_SapporoDay7_qval	SapporoDay0_SapporoDay31_FC	SapporoDay0_SapporoDay31_qval	SapporoDay7_SapporoDay31_FC	SapporoDay7_SapporoDay31_qval	SendaiDay0_SapporoDay0_FC	SendaiDay0_SapporoDay0_qval	SendaiDay0_SapporoDay7_FC	SendaiDay0_SapporoDay7_qval	SendaiDay0_SapporoDay31_FC	SendaiDay0_SapporoDay31_qval	SendaiDay7_SapporoDay0_FC	SendaiDay7_SapporoDay0_qval	SendaiDay7_SapporoDay7_FC	SendaiDay7_SapporoDay7_qval	SendaiDay7_SapporoDay31_FC	SendaiDay7_SapporoDay31_qval
LOC123744859	FBgn0037720	CG8312	protein FAM43A-like	2.18283953174109	0.0469376679966165	NA	NA	2.02569664543167	0.0215885870433352	NA	NA	NA	NA	NA	NA	NA	NA	2.44957531616103	0.00312820435784909	NA	NA	NA	NA
LOC123744942	FBgn0039804	CG15544	uncharacterized	3.44499179054553	0.0013361034699824	NA	NA	3.95167955930535	1.01285788054003e-06	NA	NA	NA	NA	NA	NA	3.42819528489124	0.0011166732570655	3.93810319973172	1.1877573119151e-06	NA	NA	NA	NA
LOC123745037	FBgn0283508	nw	uncharacterized	3.77501790570614	0.000818106532673521	NA	NA	4.38073047356782	0.000323418931984523	NA	NA	NA	NA	NA	NA	2.78089964030011	0.0152259723378172	5.36087989421725	8.78563806192835e-06	NA	NA	NA	NA
LOC123745142	NA	NA	uncharacterized	4.82089332800712	0.00379718680445217	NA	NA	8.15805256634733	2.37344132740674e-07	NA	NA	NA	NA	NA	NA	5.12441540316326	0.00136728634985863	7.86972842020499	4.3278684933066e-07	NA	NA	NA	NA
LOC123745143	NA	NA	uncharacterized	8.76358852415024	1.62758415797386e-07	NA	NA	8.12335390823112	3.35372999034519e-06	3.81814903930232	0.0452911953062012	NA	NA	NA	NA	4.52652972843473	0.00314774066975194	12.3978367827467	1.34111382424527e-12	-8.10921827728679	5.43442933544003e-06	-4.34194689126231	9.86003288354213e-05
LOC123745177	FBgn0003892	ptc	protein patched-like	3.21210612567716	0.0421959787500773	NA	NA	5.40953770160536	0.000120943981100851	NA	NA	NA	NA	NA	NA	3.71279700461428	0.00922834057743439	4.92916790227617	0.000954806048242329	NA	NA	NA	NA
LOC123745244	NA	NA	uncharacterized	2.06975176483776	0.0454197663519721	NA	NA	2.09552170380796	0.0198058668013248	NA	NA	NA	NA	NA	NA	2.88681912893923	0.00361703327372445	NA	NA	NA	NA	NA	NA
LOC123745248	FBgn0040022	Set1	histone-lysine N-methyltransferase SETD1-like	2.95358624104625	0.0203891226918647	NA	NA	2.65198307630734	0.0227666217355661	NA	NA	NA	NA	NA	NA	NA	NA	3.14582072267774	0.00313685293654338	NA	NA	NA	NA
LOC123745271	FBgn0000560	eg	protein embryonic gonad-like	4.39519038835474	0.00969927733479102	NA	NA	6.67805261000043	6.87646298816256e-07	NA	NA	NA	NA	NA	NA	4.92424643688161	0.00360168510321188	6.14553079795182	2.65837316451914e-06	NA	NA	NA	NA
LOC123745290	FBgn0039272	CG11836	serine proteinase stubble-like	4.52801132439812	0.00319720983234619	NA	NA	3.87130140071454	0.0377745885848672	NA	NA	NA	NA	NA	NA	4.2135728519688	0.0153221855207494	4.21327463849402	0.0118224522605426	NA	NA	NA	NA
LOC123745295	NA	NA	uncharacterized	4.36349153456773	0.0497540619257741	NA	NA	3.98282992024756	0.0432121063753252	NA	NA	NA	NA	NA	NA	7.45018209048284	0.000243496547512689	NA	NA	NA	NA	2.98334970884601	0.00949438285682094
LOC123745360	FBgn0031697	CG14024	carbohydrate sulfotransferase 11-like	4.74358910758964	0.00938282258623392	NA	NA	5.69553768079817	0.00698062123899551	NA	NA	NA	NA	NA	NA	NA	NA	9.07799388428	1.30584069039235e-08	-5.21615461944384	0.000211106612055912	-3.45624447858601	2.2694659403305e-05
LOC123745405	FBgn0062411	Ctr1C	uncharacterized	2.58971117782047	0.0228939729185186	NA	NA	5.00905873781822	7.12477258984518e-10	NA	NA	NA	NA	NA	NA	3.97429471086387	0.000296189500819792	3.61284776843059	5.41990252228049e-06	NA	NA	1.27411529139599	0.0214290860663892
LOC123745435	FBgn0051158	Efa6	PH and SEC7 domain-containing protein-like	-2.52641475037148	0.048159120747348	NA	NA	-1.92882161427571	0.0441224549299204	NA	NA	NA	NA	NA	NA	NA	NA	-2.19076069258239	0.0221702568898655	2.22234623350634	0.0395324228193024	NA	NA
LOC123745565	FBgn0264695	Mhc	myosin heavy chain	-2.93539854834596	0.0224944153529218	NA	NA	-2.55835073256876	0.0164205230997342	-3.16904735446364	0.0283114147828899	NA	NA	NA	NA	NA	NA	-3.0928260860552	0.0017530659646082	3.64536687654996	0.00235425309139177	NA	NA
LOC123745566	FBgn0264695	Mhc	myosin heavy chain	-3.73730802712617	0.0113264193696678	NA	NA	-4.38199890005333	6.2481810102892e-05	-5.1152897244084	0.000258151380695904	NA	NA	NA	NA	-4.1431649302122	0.00487537160130409	-3.9712390139903	0.000152400929360034	4.65361441988284	0.000208550773454576	NA	NA
LOC123745567	FBgn0264695	Mhc	myosin heavy chain	-3.27231254816056	0.0140123215940232	NA	NA	-3.31727977834778	0.000426465351617114	-3.95511597836001	0.00189091796033411	NA	NA	NA	NA	-3.39953871077416	0.00886460460187755	-3.19943111516635	0.000435604944116346	3.78055697977821	0.000948366666370061	NA	NA
LOC123745580	FBgn0262473	Tl	protein toll-like	2.07594949239307	0.0463369203946567	NA	NA	2.03177935544158	0.0137128366949605	NA	NA	NA	NA	NA	NA	NA	NA	2.07335514164994	0.0110999156271203	NA	NA	NA	NA
