GeneID	FlyID	GeneName	AnnotatedName	SendaiDay0_SendaiDay7_FC	SendaiDay0_SendaiDay7_qval	SapporoDay0_SapporoDay7_FC	SapporoDay0_SapporoDay7_qval	SapporoDay0_SapporoDay31_FC	SapporoDay0_SapporoDay31_qval	SapporoDay7_SapporoDay31_FC	SapporoDay7_SapporoDay31_qval	SendaiDay0_SapporoDay0_FC	SendaiDay0_SapporoDay0_qval	SendaiDay0_SapporoDay7_FC	SendaiDay0_SapporoDay7_qval	SendaiDay0_SapporoDay31_FC	SendaiDay0_SapporoDay31_qval	SendaiDay7_SapporoDay0_FC	SendaiDay7_SapporoDay0_qval	SendaiDay7_SapporoDay7_FC	SendaiDay7_SapporoDay7_qval	SendaiDay7_SapporoDay31_FC	SendaiDay7_SapporoDay31_qval
LOC123744847	FBgn0030049	Trf4-1	terminal nucleotidyltransferase 4B-like	NA	NA	NA	NA	2.2670506203966543	0.03014951149507948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC123744851	FBgn0038516	P5cr-2	pyrroline-5-carboxylate reductase 3-like	3.2670992154808562	0.003519641279129474	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.011723114869128	2.0575942425658805e-5	NA	NA	-2.3864642048632376	2.3047040794583455e-5
LOC123744853	FBgn0001149	GstD1	glutathione S-transferase 1-1-like	NA	NA	NA	NA	2.015824486788831	0.028425752892311792	NA	NA	NA	NA	NA	NA	NA	NA	3.0943597491850072	1.0547351573084673e-4	NA	NA	-1.201448672465558	0.02092009933523588
LOC123744855	FBgn0034157	resilin	pro-resilin-like	NA	NA	NA	NA	5.2244434433556535	0.01671901735607063	NA	NA	NA	NA	NA	NA	NA	NA	7.11564047410918	1.6466585427803664e-4	NA	NA	NA	NA
LOC123744859	FBgn0037720	CG8312	protein FAM43A-like	2.182839531741088	0.0469376679966165	NA	NA	2.0256966454316725	0.02158858704333516	NA	NA	NA	NA	NA	NA	NA	NA	2.449575316161032	0.0031282043578490936	NA	NA	NA	NA
LOC123744887	NA	NA	vegetative cell wall protein gp1-like	3.248516137963075	4.820867156570418e-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.492463819986127	0.02133701017571867	2.4675998882706782	0.004918940287778298	NA	NA	NA	NA
LOC123744904	FBgn0003310	S	uncharacterized	4.908193254659903	0.003367100080820387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.20321232699652	0.0075988552796995325	NA	NA	-2.099615264432785	0.0015694417542285264
LOC123744934	FBgn0051954	CG31954	uncharacterized	NA	NA	-4.426236932019711	0.0497481598290434	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.487063276727827	9.24020376666692e-6	NA	NA
LOC123744940	FBgn0038629	CG14304	mucin-5AC-like	NA	NA	NA	NA	3.430996976893595	0.0012448755729928887	NA	NA	NA	NA	NA	NA	NA	NA	3.128349093979012	0.003399164507753228	NA	NA	NA	NA
LOC123744942	FBgn0039804	CG15544	uncharacterized	3.4449917905455267	0.0013361034699823952	NA	NA	3.9516795593053464	1.0128578805400307e-6	NA	NA	NA	NA	NA	NA	3.428195284891241	0.0011166732570655018	3.9381031997317244	1.1877573119151049e-6	NA	NA	NA	NA
