ind_id	pop	survival	censoring	sequence
t1	tonden	3	1	0
t2	tonden	10	1	0
t3	tonden	12	1	0
t4	tonden	14	1	0
t5	tonden	15	1	0
t6	tonden	19	1	0
t7	tonden	25	1	0
t8	tonden	26	1	0
t9	tonden	26	1	0
t10	tonden	28	1	0
t11	tonden	28	1	0
t12	tonden	31	1	0
t13	tonden	31	1	0
t14	tonden	35	0	0
t15	tonden	35	0	0
t16	tonden	35	0	0
t17	tonden	35	0	0
t18	tonden	35	0	0
t19	tonden	35	0	0
t20	tonden	35	0	0
t21	tonden	35	0	0
t22	tonden	31	0	1
t23	tonden	31	0	1
t24	tonden	31	0	1
t25	tonden	31	0	1
t26	tonden	7	0	1
t27	tonden	7	0	1
t28	tonden	7	0	1
t29	tonden	7	0	1
s1	sendai	3	1	0
s2	sendai	5	1	0
s3	sendai	10	1	0
s4	sendai	10	1	0
s5	sendai	10	1	0
s6	sendai	12	1	0
s7	sendai	13	1	0
s8	sendai	13	1	0
s9	sendai	13	1	0
s10	sendai	14	1	0
s11	sendai	14	1	0
s12	sendai	14	1	0
s13	sendai	14	1	0
s14	sendai	15	1	0
s15	sendai	17	1	0
s16	sendai	17	1	0
s17	sendai	17	1	0
s18	sendai	17	1	0
s19	sendai	17	1	0
s20	sendai	19	1	0
s21	sendai	19	1	0
s22	sendai	19	1	0
s23	sendai	21	1	0
s24	sendai	21	1	0
s25	sendai	21	1	0
s26	sendai	21	1	0
s27	sendai	25	1	0
s28	sendai	25	1	0
s29	sendai	25	1	0
s30	sendai	25	1	0
s31	sendai	25	1	0
s32	sendai	25	1	0
s33	sendai	25	1	0
s34	sendai	25	1	0
s35	sendai	25	1	0
s36	sendai	25	1	0
s37	sendai	25	1	0
s38	sendai	25	1	0
s39	sendai	25	1	0
s40	sendai	26	1	0
s41	sendai	26	1	0
s42	sendai	28	1	0
s43	sendai	28	1	0
s44	sendai	28	1	0
s45	sendai	31	1	0
s46	sendai	31	1	0
s47	sendai	31	1	0
s48	sendai	31	1	0
s49	sendai	31	1	0
s50	sendai	31	1	0
s51	sendai	31	1	0
s52	sendai	31	1	0
s53	sendai	31	1	0
s54	sendai	31	1	0
s55	sendai	31	1	0
s56	sendai	34	1	0
s57	sendai	35	1	0
s58	sendai	35	1	0
s59	sendai	35	0	0
s60	sendai	35	0	0
s61	sendai	35	0	0
s62	sendai	35	0	0
s63	sendai	35	0	0
s64	sendai	35	0	0
s65	sendai	35	0	0
s66	sendai	35	0	0
s67	sendai	31	0	1
s68	sendai	31	0	1
s69	sendai	31	0	1
s70	sendai	31	0	1
s71	sendai	7	0	1
s72	sendai	7	0	1
s73	sendai	7	0	1
s74	sendai	7	0	1
