Chr	BP	NSNPs	Kamakura-Okinawa-Sapporo	Aomori-Kamakura-Sapporo	Aomori-Okinawa-Sapporo	CHR_NEW	Genes
LG03_CM035475.1	23580500	5	NA	0.470813110856488	0.661740461783903	LG03_NC_059573.1	LOC123758482, LOC123758464
LG03_CM035475.1	23581500	4	NA	0.447173622018932	0.655887952297235	LG03_NC_059573.1	LOC123758482, LOC123758464
LG03_CM035475.1	23582500	2	NA	0.472459206094401	0.684630189039164	LG03_NC_059573.1	LOC123758482, LOC123758464
LG03_CM035475.1	23583500	2	0.642278468008219	0.481496663872354	NA	LG03_NC_059573.1	LOC123758482, LOC123758464
LG03_CM035475.1	23620500	1	0.583927925125336	0.531107584056302	0.680801592088204	LG03_NC_059573.1	LOC123758482, LOC123760978, LOC123758464
LG03_CM035475.1	23632500	11	0.536426313038158	0.5051321355128	NA	LG03_NC_059573.1	LOC123758482, LOC123760978, LOC123758464
LG03_CM035475.1	23633500	11	0.544471388518071	0.508190195664897	NA	LG03_NC_059573.1	LOC123758482, LOC123760978, LOC123758464
LG03_CM035475.1	23634500	14	0.571368080512065	0.526539046944498	NA	LG03_NC_059573.1	LOC123758482, LOC123760978, LOC123758464
LG03_CM035475.1	23679500	13	0.572296868956732	0.530048391225315	NA	LG03_NC_059573.1	LOC123756522, LOC123758531, LOC123758555, LOC123760978, LOC123758464
LG03_CM035475.1	23680500	17	0.564915338758723	0.514976566571406	NA	LG03_NC_059573.1	LOC123756522, LOC123758531, LOC123758555, LOC123760978, LOC123758464
LG03_CM035475.1	23681500	15	0.571579535264578	0.520523784689878	NA	LG03_NC_059573.1	LOC123756522, LOC123758531, LOC123758555, LOC123760978, LOC123758464
LG03_CM035475.1	23682500	10	0.550080754108759	0.46391756570117	NA	LG03_NC_059573.1	LOC123756522, LOC123758531, LOC123758555, LOC123760978, LOC123758464
LG03_CM035475.1	23683500	8	0.526088863221158	0.461120822325949	NA	LG03_NC_059573.1	LOC123756522, LOC123758531, LOC123758555, LOC123760978, LOC123758464
LG03_CM035475.1	23689500	17	0.530678133208217	0.496946066309698	NA	LG03_NC_059573.1	LOC123756522, LOC123758531, LOC123758555, LOC123760989, LOC123760978, LOC123758464
LG03_CM035475.1	23690500	20	0.571330686012389	0.529339102121875	NA	LG03_NC_059573.1	LOC123756522, LOC123758531, LOC123758555, LOC123760989, LOC123760978, LOC123758464
LG03_CM035475.1	23691500	23	0.595984769187384	0.534128979591414	0.652113244601138	LG03_NC_059573.1	LOC123756522, LOC123758531, LOC123758555, LOC123760989, LOC123760978, LOC123758464
LG03_CM035475.1	23692500	22	0.544002401473034	0.485000312520145	NA	LG03_NC_059573.1	LOC123756522, LOC123758531, LOC123758555, LOC123760989, LOC123760978, LOC123758464
LG03_CM035475.1	23720500	13	0.561662861336059	0.457155636187418	NA	LG03_NC_059573.1	LOC123756522, LOC123758531, LOC123758555, LOC123760989, LOC123760978
LG03_CM035475.1	23722500	13	0.58494328057513	0.453689652276429	NA	LG03_NC_059573.1	LOC123756522, LOC123758531, LOC123758555, LOC123760989, LOC123760978
LG03_CM035475.1	23725500	15	0.583633994044282	0.473378870974475	NA	LG03_NC_059573.1	LOC123756522, LOC123758531, LOC123758555, LOC123760989, LOC123760978
