FamilyID	Pmon<0>	Pchi<1>	<2>	Pvan<3>	Hame<4>	Pcla<5>	Ptri<6>	Esin<7>	<8>	Pjap<9>	<10>	<11>	<12>	<13>	<14>
FBgn0038376	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0011740	3	3	3	4	2	2	2	2	3	4	2	2	3	2	2
FBgn0038304	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2
FBgn0033466	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0026620	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1
FBgn0032394	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0069242	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1
FBgn0032407	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
FBgn0027600	4	2	3	3	3	1	3	2	3	1	2	2	2	2	2
FBgn0004666	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1
FBgn0031273	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1
FBgn0033644	46	45	46	52	34	27	20	20	46	46	30	22	45	30	32
FBgn0036008	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
FBgn0036612	8	14	11	12	9	10	7	9	11	12	9	8	11	9	9
FBgn0035538	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2
FBgn0029857	1	1	1	1	1	1	0	2	1	1	1	1	1	1	1
FBgn0035244	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0086785	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1
FBgn0259244	4	1	3	4	3	5	2	2	3	2	3	2	3	3	3
FBgn0039959	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0035323	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1
FBgn0037382	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
FBgn0037743	1	1	1	2	1	1	1	0	1	1	1	1	1	1	1
FBgn0037336	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0028707	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0035207	5	3	3	2	3	3	3	3	3	5	3	3	3	3	3
FBgn0261955	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
FBgn0000527	4	1	2	1	2	3	2	2	2	5	2	2	2	2	2
FBgn0031769	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
FBgn0003366	1	1	1	1	5	1	1	1	1	2	1	1	1	1	1
FBgn0085440	4	4	4	7	4	6	4	5	4	3	4	4	4	4	4
FBgn0014949	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
FBgn0260657	2	3	3	4	3	1	2	2	3	4	2	2	3	2	2
FBgn0033912	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
FBgn0032629	23	16	19	14	25	21	29	28	19	30	24	28	22	25	25
FBgn0085434	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2
