#FamilyID	Pmon<0>	Pchi<1>	<2>	Pvan<3>	Hame<4>	Pcla<5>	Ptri<6>	Esin<7>	<8>	Pjap<9>	<10>	<11>	<12>	<13>	<14>	
FBgn0000527	0.0095945	0.168353	0.540343	0.2096	0.818851	0.262892	0.73509	0.73509	0.59951	0.0034602	0.695951	0.801351	0.843379	0.646412	N/A
FBgn0032629	0.0248781	0.0514341	0.740656	0.0069552	0.674405	0.509504	0.700703	0.938734	0.0518304	0.00339117	0.77635	0.411717	0.63542	0.905961	N/A
FBgn0039584	0.168353	0.000465359	0.540343	0.2096	0.493892	0.818851	0.356376	0.73509	0.59951	0.127772	0.695951	0.801351	0.843379	0.646412	N/A
FBgn0035293	0.561606	0.0316865	0.520817	0.116413	0.733172	0.331603	0.012792	0.216866	0.554056	0.0635043	0.617937	0.712787	0.765422	0.583307	N/A
FBgn0031209	0.596571	0.0160818	0.718041	0.293596	0.0331817	0.444974	0.00816874	0.00279249	0.3362	0.397995	0.563042	0.817087	0.748109	0.883875	N/A
FBgn0036203	0.0913971	8.16344e-06	0.520817	0.578732	0.733172	0.331603	0.012792	0.648956	0.554056	0.0635043	0.617937	0.712787	0.765422	0.583307	N/A
FBgn0000121	0.352685	0.202298	0.700723	0.000190925	0.732003	0.427303	0.632445	0.428756	0.304031	0.693788	0.603905	0.731283	0.131951	0.546124	N/A
FBgn0039084	0.688019	1.18482e-05	0.57587	1.17449e-08	0.331603	0.124956	0.648956	0.648956	0.082819	0.39179	0.617937	0.712787	0.0447024	0.583307	N/A
FBgn0040298	0.0683532	0.00023838	0.60722	0.00198905	0.173632	0.288451	0.450425	0.23238	0.135342	0.0142282	0.785809	0.616138	0.49137	0.732106	N/A
FBgn0004885	0.12161	0.792613	0.0830281	0.811245	0.173632	0.0598218	0.78738	0.78738	0.0548975	0.1862	0.785809	0.616138	0.216325	0.732106	N/A
FBgn0002940	0.760846	0.0119832	0.621502	0.4757	0.879301	0.0598218	0.0703121	0.65637	0.160184	0.550511	0.503785	0.0713924	0.395114	0.761397	N/A
FBgn0053909	2.99701e-06	0.00909323	0.691296	0.398323	5.3696e-07	1.60406e-06	0.423651	0.928976	0.818635	0.363463	0.910098	0.331844	0.337093	0.475536	N/A
FBgn0261362	0.688019	0.688019	0.57587	0.000575695	0.440495	0.173632	0.73509	0.356376	0.670389	0.0554813	0.785809	0.256685	0.67529	0.732106	N/A
FBgn0025390	0.777984	0.0491787	0.634939	0.0750156	0.262892	0.139392	0.648956	0.648956	0.759514	0.861183	0.695951	0.463639	0.00961193	0.297862	N/A
FBgn0025697	0.0634201	0.00288682	0.540343	0.0816776	0.262892	0.818851	0.0568799	0.356376	0.59951	0.699796	0.695951	0.801351	0.843379	0.646412	N/A
FBgn0038834	0.181397	0.740637	0.60722	0.227849	0.733172	0.331603	0.5	0.5	0.000895549	0.0331169	0.617937	0.304528	0.0447024	0.583307	N/A
FBgn0035592	0.561606	0.561606	0.520817	0.578732	0.0598218	5.06055e-12	0.648956	0.648956	0.554056	0.620822	0.0354781	0.463639	0.538951	0.646412	N/A
FBgn0034945	0.021102	0.653623	0.558666	0.0128868	0.119927	0.220487	0.0523198	0.0168632	0.637877	0.187799	0.748883	0.844254	0.623846	0.694715	N/A
