FamilyID	Pmon<0>	Pchi<1>	<2>	Pvan<3>	Hame<4>	Pcla<5>	Ptri<6>	Esin<7>	<8>	Pjap<9>	<10>	<11>	<12>	<13>	<14>
FBgn0038376	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0011740	+0	+0	+0	+1	+0	+0	+0	+0	+0	+1	+0	+0	+1	+0	+0
FBgn0038304	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0033466	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0026620	+0	+0	+0	+0	+0	+0	+0	+1	+0	+1	+0	+0	+0	+0	+0
FBgn0032394	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0069242	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0
FBgn0032407	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0
FBgn0027600	+1	-1	+0	+0	+1	-1	+1	+0	+1	-1	+0	+0	+0	+0	+0
FBgn0004666	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0031273	+0	-1	+0	+0	+0	+0	+0	-1	+0	-1	-1	+0	+0	+0	+0
FBgn0033644	+0	-1	+0	+6	+4	-3	-2	-2	+1	+1	+0	-8	+13	-2	+0
FBgn0036008	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0
FBgn0036612	-3	+3	+0	+1	+0	+1	-1	+1	+0	+1	+0	-1	+2	+0	+0
FBgn0035538	+1	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0029857	+0	+0	+0	+0	+0	+0	-1	+1	+0	+0	+0	+0	+0	+0	+0
FBgn0035244	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0086785	+0	+0	+0	-1	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0
FBgn0259244	+1	-2	+0	+1	+0	+2	+0	+0	+0	-1	+0	-1	+0	+0	+0
FBgn0039959	+1	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0035323	-1	+0	+0	-1	-1	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0
FBgn0037382	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0037743	+0	+0	+0	+1	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0
FBgn0037336	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0028707	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0035207	+2	+0	+0	-1	+0	+0	+0	+0	+0	+2	+0	+0	+0	+0	+0
FBgn0261955	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0000527	+2	-1	+0	-1	+0	+1	+0	+0	+0	+3	+0	+0	+0	+0	+0
FBgn0031769	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0003366	+0	+0	+0	+0	+4	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0
FBgn0085440	+0	+0	+0	+3	+0	+2	+0	+1	+0	-1	+0	+0	+0	+0	+0
FBgn0014949	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0260657	-1	+0	+0	+1	+1	-1	+0	+0	+0	+1	+0	+0	+1	+0	+0
FBgn0033912	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0032629	+4	-3	+0	-5	+1	-3	+1	+0	-3	+8	-1	+3	-3	+0	+0
FBgn0085434	+0	+0	+0	+0	+0	+0	+0	+0	+0	+1	+0	+0	+0	+0	+0
FBgn0030676	+0	+0	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0
FBgn0039158	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0038110	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0031359	+0	+0	+0	+1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0261067	+0	+0	+0	-1	+0	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0
FBgn0259918	+0	-1	+0	-1	+0	+0	-1	+0	+0	-1	-1	+0	+0	+0	+0
FBgn0039584	-1	+3	+0	-1	-1	+0	-1	+0	+0	+1	+0	+0	+0	+0	+0
FBgn0037376	+0	+0	+0	+0	-1	+0	+0	+0	+0	+0	+0	+0	+0	+0	+0
FBgn0037611	+0	-1	+0	+0	+0	+0	-1	+0	+0	-1	-1	+0	+0	+0	+0
